_id,title,description,keywords,url,topic,sub-topic,fields that guide decision,ontology,discussed,Gabriele_topic,Maria_Angela_topic
Sherry_Wine_,Sherry Wine,Se trata de un vocabulario diseñado para conocer y exponer los vinos y sus principales características de la Denominación de Origen de Jerez (Sherry Wine).,,https://lod-cloud.net/dataset/Sherry_Wine_,cultural heritage,intangible,DESC,YES,,cultural heritage,not classified
UDante0000018b240b14a8,UDante in LiLa,UD treebank  of Dante Alighieri’s Latin works linked to the LiLa Knowledge Base,Latin; Corpus; LLOD; LiLa; Dante,https://lod-cloud.net/dataset/UDante,cultural heritage,tangible-movable,DESC,NO,,cultural heritage,linguistic
Water_Areas_Classification,FAO water areas classification as linked data @PSNC,FAO water areas classification  including inland and marine codes  published as linked data.,FAO; water areas; marine; inland,https://lod-cloud.net/dataset/Water_Areas_Classification,cultural heritage,natural,DESC,NO,,cultural heritage,not classified
agrovoc,AGROVOC,AGROVOC is a controlled vocabulary covering all areas of interest of the Food and Agriculture Organization (FAO) of the United Nations  including food  nutrition  agriculture  forestry  fisheries  scientific and common names of animals and plants  environment  biological notions  techniques of plant cultivation and more.. It is published by FAO and edited by a community of experts.  AGROVOC is an RDF/ SKOS-XL concept scheme  and a Linked Open Data (LOD) set edited by the VocBench tool. It is available in up to 41 languages. The basic notions for a concept scheme are: concepts and terms. Concepts are grouped into 25 broad subject areas. For more information on the structure of the thesaurus and its historical background please consult the thesaurus introduction.  AGROVOC is widely used in specialized libraries as well as digital libraries and repositories to index content and for the purpose of text mining. It is also used as a specialized tagging resource for knowledge and content organization by FAO and other third-party stakeholders.,food; nutrition; agriculture; forestry; fisheries; scientific and common names of animals and plants; environment; biological notions; techniques of plant cultivation,https://lod-cloud.net/dataset/agrovoc,cultural heritage,intangible,DESC,NO,,cultural heritage,"linguistic, cultural heritage"
anno0000018da2d42240,ANNO,The Anthropological Notation Ontology (ANNO) allows the systematic and standardized classification of recovered bone finds into the skeletal system  the description of the skeletal pieces  and the definition of functions for the derivation of different phenotypes of humans in forensic and historical anthropology. ANNO consists of two components: ANNOdc  a domain-core ontology providing core entities such as basic anatomical categories  and ANNOds  a domain-specific ontology used for annotating structures of the human skeleton. ANNO is integrated into AnthroWorks3D  a photogrammetry pipeline and application for the creation and analysis of 3D-models of human skeletal remains. The integration is based on the three-ontology method with the General Formal Ontology as the top-level ontology  ANNOdc as the task ontology and ANNOds as the domain ontology. Thus  AnthroWorks3D only needs to implement access to the entities (classes and properties) of the task ontology  whereas the entities of the corresponding domain ontology are imported dynamically. ANNO supports the analysis of skeletal and bone finds in forensic and historical anthropology  facilitating the standardization of data annotation and ensuring accurate preservation of information for posterity.,anthropology,https://lod-cloud.net/dataset/anno,cultural heritage,intangible,DESC,NO,,cultural heritage,health
archiveshub-linkeddata,Archives Hub Linked Data,A sample dataset of descriptions of archive collections held on the Archives Hub  a UK aggregator  and output as Linked Data.     The Hub Linked Data provides a perspective on the people  organisations  subjects and places connected with the archives that are described.  External links are provided to other datasets  such as the Virtual International Authority File and Library of Congress Subject Headings.    A stylesheet is available to convert EAD data (XML for archives) into RDF XML.     http://data.archiveshub.ac.uk/,archives; deref-vocab; format-xhtml; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; open_archives; publications; published-by-third-party,https://lod-cloud.net/dataset/archiveshub-linkeddata,cultural heritage,tangible-movable,DESC,NO,,cultural heritage,
bbc-music,BBC Music,BBC Music is a team working in the department of Audio and Music Interactive at the BBC. Responsible for the BBC Music website - the portal site to music content across the BBC website. It is also the location of the BBC's album reviews  covering all major releases in every genre on a monthly basis and written by a wide range of music experts. Contributors include Andrew Mueller  Nick Barraclough  David Quantick  Barney Hoskyns and Paul Lester. Music reviews are edited by former Drowned in Sound and Clash magazine online editor Mike Diver.,bbc; deref-vocab; format-bio; format-foaf; format-mo; format-rdf; format-rev; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; media; music; no-license-metadata; no-provenance-metadata; no-vocab-mappings; published-by-producer,https://lod-cloud.net/dataset/bbc-music,cultural heritage,intangible,TITLE,NO,,cultural heritage,music > cultural heritage
biblioteca-nacional-escolar-bnescolar,Biblioteca Nacional Escolar (BNEscolar),La Biblioteca Nacional Escolar (BNEscolar) es una colección de más de 8.500 documentos digitalizados de la Biblioteca Digital Hispánica. Está constituida por un conjunto de contenidos elegidos  además de por su indudable valor cultural  por su utilidad para enriquecer y complementar los contenidos educativos del currículo de enseñanzas medias.     La BNEscolar nació en el marco de la colaboración entre la Bliblioteca Nacional de España (BNE) y GNOSS en el proyecto Spanish Culture in Linked Open Data: Explotación semántica y valorización educativa de los bienes culturales españoles.    Está estructurada en tres secciones: Arte  Dibujos de los niños de la guerra y Otras colecciones. La primera de ellas engloba más de  2400 obras de arte de las colecciones de Grabados de Durero  Obras de Goya  Estampas Japonesas  Grabados flamencos y holandeses...de gran riqueza cultural. La  segunda de ellas comprende íntegramente la colección de Dibujos de los niños de la guerra. Un conjunto de cerca de 1200 dibujos  pintados por niños acogidos en diversas instituciones de España y Francia  que representa la mirada infantil del conflicto bélico y de escenas de la vida cotidiana en esa época. La tercera de ellas  Otras Colecciones  incluye más de 5.000 obras culturales sobre diversas disciplinas pertenecientes a quince diferentes colecciones de la BNE como: Teatro del Siglo de Oro  Quijotes  Material Cartográfico Manuscrito  Historia de la Ciencia  entre otras.      National School Library    The National School Library (BNEscolar) is a collection of over 8 500 digitalized documents of the Hispanic Digital Library. It is constituted for a set of chosen contents  in addition to its indubitable cultural value  because of its usefulness to enrich and complement educational contents of the intermediate education curriculum.    The BNEscolar was born in the context of teamwork between Spanish School Library BNE and GNOSS on the project Spanish Culture in Linked Open Data: semantic exploitation and educational valorization of Spanish cultural goods.    It is structured into three sections: Art  Children’s drawings of war and Other collections. The first of them includes more than 2 400 artworks from collections of Engravings by Dürer  Works of Goya  Japanese Prints  Flemish and Dutch Engravings … culturally rich. The second of them includes entirely the collection of Children’s drawings of war. A whole of about 1 200 drawings  painted by fostered children by different institutions of Spain and France  which represents childish look of the war conflict and scenes of daily life at this time. The third of them  Other collections  includes over 5 000 artworks about several disciplines belonging to fifteen different collections of BNE like: Spanish Golden Age Theatre  Quijotes  Manuscript Cartographic Material  History of Science  among other artworks.    Bibliothèque National Scolaire    La Bibliothèque National Scolaire (BNEscolar) est une collection de plus de 8.500 documents digitalisés de la Bibliothèque National Hispanique. Elle est constituée d’un ensemble de contenus sélectionnés  en plus de son indubitable valeur culturelle  pour son utilité pour enrichir et complémenter les contenus éducatifs du curriculum d’enseignements secondaires.    La BNEscolar est né dans le cadre de collaboration entre la Bibliothèque Nationale Espagnole BNE et GNOSS dans le projet Spanish Culture in Linked Open Data : exploitation sémantique et valorisation éducative des biens culturels espagnols.    Elle est divisée en trois sections : Art  Dessins des enfants de la guerre et Autres collections. La première comprend plus de 2.400 œuvres d’art des collections des Gravures de Dürer  des Ouvres de Goya  des Estampes japonaises  des Gravures flamands et hollandais … d’une grande richesse culturelle. La deuxième comprend entièrement la collection des Dessins des enfants de la guerre. Un ensemble d’environ 1.200 dessins  peint par des enfants accueillis par des institutions d’Espagne et de la France  que représente le regard enfantin de la guerre et des scènes de la vie quotidienne dans cette époque. La troisième  Autres collections  comprend plus de 5.000 œuvres culturelles sur diverses disciplines dans quinze différents collections de la BNE comme : Théâtre de l’Age d’Or  Quijotes  Matériel Cartographique Manuscrit  Histoire de la Science  entre autres.,biblioteca nacional; biblioteca nacional escolar; bne; gnoss,https://lod-cloud.net/dataset/biblioteca-nacional-escolar-bnescolar,cultural heritage,tangible-movable,DESC,NO,,cultural heritage,"education, cultural heritage"
biographical-directory-of-the-united-states-congress,Biographical Directory of the United States Congress,Names  positions  state  party  and congress number of members of US Congress 1774-present.    Scraped from http://bioguide.congress.gov/biosearch/biosearch.asp   by https://scraperwiki.com/scrapers/biographical_directory_usc/#,government; lod; no-deref-vocab; provenance-metadata; published-by-third-party,https://lod-cloud.net/dataset/biographical-directory-of-the-united-states-congress,cultural heritage,tangible-movable,DESC,NO,,cultural heritage,not classified - government
bioportal-adw,Animal natural history and life history,An ontology for animal life history and natural history characteristics suitable for populations and higher taxonomic entities.,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,https://lod-cloud.net/dataset/bioportal-adw,cultural heritage,natural,DESC,YES,,cultural heritage,health
bioportal-ero,eagle-i research resource ontology,This ontology models research resources such instruments. protocols  reagents  animal models and biospecimens. It has been developed in the context of the eagle-i project (http://eagle-i.net/).,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,https://lod-cloud.net/dataset/bioportal-ero,cultural heritage,natural,DESC,YES,,cultural heritage,health
bll-thesaurus,Bibliography of Linguistic Literature (BLL) Thesaurus,The Thesaurus of the Bibliography of Linguistic Literature (BLL Thesaurus) represents a comprehensive bilingual vocabulary for indexing and documentation of linguistically relevant publications. Since 1971  it has been continuously developed and enhanced. The BLL Thesaurus covers the field in its entirety: language identifiers  levels of language description  sub-domains and sub-disciplines as well as theoretical frameworks.  The BLL Thesaurus is hosted and maintained by the University Library Johann Christian Senckenberg in Frankfurt  Germany. The dataset is published as RDF/XML  NT and Turtle and licensed under Creative Commons Attribution (CC-BY).,language_description; linguistic; linguistics; llod; ontology; terminology; thesaurus,https://lod-cloud.net/dataset/bll-thesaurus,cultural heritage,tangible-movable,DESC,,,cultural heritage,"linguistic, cultural heritage"
bpr,BPR ? Bibliography of the Italian Parliament and electoral studies,**dati.camera.it - Linked Open Data della Camera dei deputati**    **The BPR - Bibliografia del Parlamento italiano e degli studi elettorali**  (Bibliography of the Italian Parliament and Electoral Studies) is a database of bibliographic references of books and articles in periodical journals addressing the history of the Italian Parliament and the history of elections. In particular the BPR provides references to studies on:      * the Italian Parliament  from the concession of the Statuto Albertino (Albertine Statute) in 1848  the National Consultative Assembly and the Constituent Assembly;  * elections (laws  procedures  results)  with reference to general elections as from 1848.      The BPR addresses primarily studies in law  plus studies in political science  organisational science  political sociology  as well as related historiographical literature. In 2002 the BPR started reporting documents posted on the leading juridical websites.    Each bibliographic reference is assigned one or more classification codes  which are taken from a directory of over 100 classifications organized into seven major fields.    The BPR is also a digital library updated non-stop. By using documents in the public domain or available thanks to agreements with private publishers  it provides a selection of full-text documents (monographs  judgements  articles from periodicals  contributions to miscellaneous works) attached to the bibliographic reference.,bibliographic data; bibliography; country-italy; library; lod; lodcloud-diagram-2014-08-30; lodlam; rdf; rdf-format,https://lod-cloud.net/dataset/bpr,cultural heritage,tangible-movable,DESC,NO,,cultural heritage,not classified - government
cht,Cultural Heritage Thesaurus,Concepts that cover thecultural heritage field in the Netherlands.,cultural heritage; archaeology; Architecture; Arthistory; historical buildings,https://lod-cloud.net/dataset/cht,cultural heritage,tangible-immovable,KEYWORDS,NO,,cultural heritage,"cultural heritage, linguistic"
data-incubator-discogs,Discogs in RDF,This dataset contains information about audio recordings  including commercial releases  promotional releases and bootleg or off-label releases. Discogs is one of the largest online databases of electronic music releases and of releases on vinyl media. The source data comes from submissions contributed by users who have registered accounts on discogs.com. This version is based on the regularly monthly data releases from the website which have been placed into the Public Domain.    *Note* this RDF version of Discogs is no longer updated  it was taken off-line during the shutdown of Kasabi. A dump of the dataset has been [uploaded to the Internet Archive](http://archive.org/details/kasabi),format-dc; format-exif; format-foaf; format-mo; format-owl; format-rdf; format-sioc; license-metadata; lodcloud-diagram-2011-09-19; media; music; records,https://lod-cloud.net/dataset/data-incubator-discogs,cultural heritage,intangible,DESC,NO,,cultural heritage,not classified
data-incubator-musicbrainz,Data Incubator: MusicBrainz,An RDF conversion of the PostgreSQL database dumps made available by the MusicBrainz project (package:musicbrainz) and hosted under the Talis Connected Commons scheme. It contains RDF representations of albums  artists  tracks  labels and their relationships.    Note: this dataset is no longer available.,broken_link; format-bio; format-dc; format-foaf; format-gr; format-mo; format-ov; format-owl; format-rdf; format-skos; license-metadata; lodcloud-diagram-2007-05-01; lodcloud-diagram-2011-09-19; media; music; no-deref-vocab; no-vocab-mappings; provenance-metadata; published-by-third-party; talis,https://lod-cloud.net/dataset/data-incubator-musicbrainz,cultural heritage,intangible,DESC,NO,,cultural heritage,DOUBT
data-persee-fr00000192d3409f33,Persée in RDF,![data.persee.fr](http://data.persee.fr/cropped-Logo-data.persee_petit.png)    [data.persee.fr](http://data.persee.fr) is a triplestore opened in 2017. It gathers all the metadata produced by Persée and makes it available in a structured way (RDF graph) according to the semantic web principles (DCMI  FRBR  FOAF  CITO  BIBO  SKOS). The mapping between Persée’s data and international information systems enables the researchers to explore Persée database and to link to data offered by the library community (IdRef  data.bnf.fr  etc.)  the scientific community (the Cairo Gazetteer  the Global Biodiversity Information Facility - GBIF) and other crowded sources (DBpedia),dataset-collection; deref-vocab; format-bibo; format-biro; format-cito; format-dcterms; format-foaf; format-marcrel; format-rda; format-rdf; format-schema; format-skos; license-metadata; lod; pedagogic-material; provenance-metadata; publications; published-by-producer; sparql-endpoint; vocab-mappings,https://lod-cloud.net/dataset/data-persee-fr,,,,NO,,,cultural heritage
dbtropes,DBTropes,DBTropes.org is a Linked Data wrapper for the TVTropes.org community wiki. It contains descriptions of numerous movies  books  and other items  and associates these with tropes (writing devices and conventions).,book; deref-vocab; fiction; format-rdf; format-rdfs; license-metadata; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; media; movie; provenance-metadata; published-by-third-party; trope,https://lod-cloud.net/dataset/dbtropes,,,,NO,,,cultural heritage
dbtune-myspace,DBTune.org MySpace RDF Service,This service provides a live RDF representation of [Myspace](http://myspace.com/) users. If the user is also an artist  then the corresponding tracks in the streaming audio cache are included in the RDF. Note that only the top friends of the target Myspace user are included in the RDF.    This representations is designed using the Music Ontology  FOAF  and a small Myspace Ontology.    ### Issues    Triple count is a wild guess based on assumption of 10 triples for each of the 66M MySpace users.    All the links are down  marking for removal.    As of July 21  2011:  Unfortunately due to changes in the MySpace pages  the DBtune MySpace service will be down indefinitely. Sorry for inconvenience. If you have time to help fix the service you can join the MoTools project of SF or email kurtjx at gmail.,dbtune; format-rdf; lod; lodcloud.needsfixing; media; music; myspace; no-deref-vocab; no-license-metadata; no-provenance-metadata; no-vocab-mappings; published-by-third-party; socialnetwork,https://lod-cloud.net/dataset/dbtune-myspace,,,,NO,,,cultural heritage
dnb-gemeinsame-normdatei0000018da796a714,Gemeinsame Normdatei (GND),"GND stands for ""Gemeinsame Normdatei"" (Integrated Authority File) and offers a broad range of elements to describe authorities. The GND originates from the German library community and aims to solve the name ambiguity problem in the library world. Corresponding data is usually expressed in a customized MARC 21 Authority Format (GND MARC Format) which is quite domain specific and is not used beyond the library and publisher world. The GND ontology tries to bridge this gap by providing a format specification for the usage in the semantic web.  The need for name disambiguity and entries having an authoritative character is an issue that concerns a lot more communities than the library world. In a growing information society the unique identification and linking of persons  places and other authorities becomes more and more important. The GND Ontology aims to transfer the made experience from libraries to the web community by providing a vocabulary for the description of differentiated and undifferentiated persons  conferences or events  corporate bodies  places or geographic names  subject headings  and works.  To ensure compatibility aspects the GND ontology aligns a number of already established vocabularies like the FOAF vocabulary.  The GND is a young specification that probably will underlie certain smaller changes. However  the currently defined classes and properties have a status of stability. But we also expect the introduction of additional elements caused by newly upcoming requirements within the community. From January 2014 on  the Linked Data Service of the German National Library (DNB) will issue scheduled releases and will be integrated in the export releases of the other formats. Changes to the conversion and to the data modelling will be made in January  May and September. Changes will be notified in advance via the Linked Data Service mailing list (http://lists.dnb.de/mailman/listinfo/lds) and the Integrated Authority File GND Ontology mailing list (http://lists.dnb.de/mailman/listinfo/gnd-ontology). Please subscribe if you are interested in receiving information about future developments in DNB Linked Data Services. In a schedule corresponding to the export releases  updated dumps of the authority and bibliographic data in RDF/XML and Turtle will be available for download in February  June and October.  The authors welcome comments on this document  preferably via the public GND ontology list; public archives are available.   The Integrated Authority File  The ""Gemeinsame Normdatei"" (GND  Integrated Authority File) brings together the content of the former Corporate Body Authority File GKD (Gemeinsame Körperschaftsdatei)  the Name Authority File PND (Personennamendatei)  the Subject Headings Authority File SWD (Schlagwortnormdatei) and the Uniform Title File of the Deutsches Musikarchiv EST file (Einheitssachtitel-Datei ) to form an integrated authority file.  The target has therefore been reached of setting up an authority file which covers all types of entities and which serves as a common  authoritative reference system for libraries' bibliographic data and for the cataloging data of other authority file users such as archives  museums  projects  scientific and cultural institutions. All library networks in the German-speaking countries and the German Union Catalogue of Serials (ZDB) are involved in the GND project alongside the German National Library.  The GND should consign to the past problems arising from different formats  parallel storage of data records and different rules for descriptive and subject cataloging.  The objective of the GND is to form a modern  web-compatible authority file which is capable of networking the wide range of resources and information held by libraries and other cultural institutions in the German-speaking countries and making these accessible to users. To approach a web-compatible authority file we also provide the GND as linked data. Therefore we developed an independent GND specific vocabulary (GND Ontology) that almost completely covers the offered GND concepts provided in MARC 21.",authorities; bibliographic; buildings; concepts; corporations; crossdomain; format-foaf; format-rdf; format-rdfs; format-skos; germany; lld; lod; no-deref-vocab; no-license-metadata; no-provenance-metadata; no-vocab-mappings; persons; places; published-by-producer; rdf,https://lod-cloud.net/dataset/dnb-gemeinsame-normdatei,cultural heritage,tangible-movable,DESC,YES,,cultural heritage,
eionet-rdf,EIONET RDF Data,Various data sets in RDF format collected by the [European Environment Agency](http://www.eea.europa.eu/) as part of the [European Environment Information and Observation Network](http://eionet.europa.eu/) (EIONET).    An overview of available datasets can be obtained from the [VoID file](http://rdfdata.eionet.europa.eu/void.rdf).,eea; eionet; environment; europe; format-rdf; government; lod; lodcloud-diagram-2014-08-30; published-by-producer,https://lod-cloud.net/dataset/eionet-rdf,cultural heritage,natural,DESC,NO,,cultural heritage,not classified - geography
environmental-applications-reference-thesaurus,EARTh,The Environmental Applications Reference Thesaurus (EARTh) has been compiled and is maintained by the  CNR-IIA-EKOLab  to facilitate the indexing  retrieval  harmonizing and integration of human- and machine-readable environmental information from disparate sources  across the cultural and linguistic barriers. Ownership of such material always remains with the CNR-IIA-EKOLab.    EARTh has been firstly made available as linked data as an activity within the European Project NatureSDIPlus (ECP-2007-GEO-317007). It is currently maintained  in the context of LusTRE  a framework under development within the EU project eENVplus (CIP-ICT-PSP grant No. 325232) that aims at combining existing thesauri to support the management of environmental resources. LusTRE considers the heterogeneity in scopes and levels of abstraction of environmental thesauri as an asset when managing environmental data  it exploits linked data best practices SKOS (Simple Knowledge Organization System) and RDF (Resource Description Framework) in order to provide a multi-thesauri solution for INSPIRE data themes related to the environment.,format-rdf; format-skos; geographic; license-metadata; lld; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-proprietary-vocab; provenance-metadata; published-by-third-party; schemata; thesaurus; vocab-mappings; void-sparql-endpoint,https://lod-cloud.net/dataset/environmental-applications-reference-thesaurus,cultural heritage,natural,DESC,NO,,cultural heritage,linguistic
eventseer,Eventseer,This server generates Linked Data versions of the data present on Eventseer.net,conferences; events; latc; science,https://lod-cloud.net/dataset/eventseer,cultural heritage,intangible,DESC,NO,,cultural heritage,not classified
foodista,Foodista,Foodista is a community edited recipe wiki  published under a Creative Common Attribution license. The wiki contains information on foods  tools  techniques  and recipes.    This dataset was based on a crawl of the Foodista website  extracting the metadata from the service. Since the crawl was completed the Foodista site has significantly changed  so refreshing the data is more difficult.     *Note* this dataset is no longer updated  it was taken off-line during the shutdown of Kasabi. A dump of the dataset has been [uploaded to the Internet Archive](http://archive.org/details/kasabi),food; format-rdf; usergeneratedcontent,https://lod-cloud.net/dataset/foodista,cultural heritage,intangible,DESC,NO,,cultural heritage,cultural heritage?
foodpedia,FOODpedia - Linked Data Dataset about Food Products and Ingredients,At this moment FOODpedia contains information about only Russian food products and ingredients that was crawled from [GoodsMatrix](http://goodsmatrix.ru/) web site. Also it has links to ingredients from [AGROVOC](http://datahub.io/dataset/agrovoc-skos).,food; format-rdf; ingredients; lod,https://lod-cloud.net/dataset/foodpedia,cultural heritage,intangible,DESC,NO,,cultural heritage,cultural heritage?
freeyork-org,Freeyork,Freeyork dataset  built with WordLift from the website https://freeyork.org/,design; freeyork; wordlift,https://lod-cloud.net/dataset/freeyork-org,cultural heritage,tangible-movable,WEBSITE,NO,,cultural heritage,not classified
gemet,GEneral Multilingual Environmental Thesaurus,### About    A thesaurus in 20+ languages for terms related to the environment and environmental data. Published by the European Environment Agency.    Available in RDF without reuse constraints.     ### Openness     No explicit information found.,deref-vocab; environment; european; format-rdf; format-skos; format-xhtml; license-metadata; lld; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; provenance-metadata; published-by-third-party; schemata; thesaurus,https://lod-cloud.net/dataset/gemet,cultural heritage,natural,DESC,YES,,cultural heritage,linguistic
