title,keywords,description,,url,Topic,Sub classification,_id
Results of R&D,deref-vocab; format-dcterms; format-skos; government; license-metadata; lod; no-vocab-mappings; provenance-metadata; published-by-third-party,Results of R&D.,,https://lod-cloud.net/dataset/cz-vavai-results,edu,,cz-vavai-results
RoadTrb,,Road,,https://lod-cloud.net/dataset/http:data.linkedeodata.euroadidStateRoadD010Turkey-1,,,http:data.linkedeodata.euroadidStateRoadD010Turkey-1
MLSA - A Multi-layered Reference Corpus for German Sentiment Analysis,crossdomain; linguistics; lod; sentiment,"Sentence-layer annotation represents the most coarse-grained annotation in this  corpus. We adhere to definitions of objectivity and subjectivity introduced in  (Wiebe et al.  2005). Additionally  we followed guidelines drawn from (Balahur &  Steinberger  2009). Their clarifications proved to be quite effective  raising  inter-annotator agreement in a sentence-layer polarity annotation task from  about 50% to >80%. All sentences were annotated in two dimensions.    The first dimension covers the factual nature of the sentence  i.e. whether it  provides objective information or if it is intended to express an opinion   belief or subjective argument. Therefore  it is either objective or subjective.  The second dimension covers the semantic orientation of the sentence  i.e. its  polarity. Thus  it is either positive  negative or neutral.    In the second layer  we model the contextually interpreted sentiments on the  levels of words and NP/PP phrases. That is  the annotation decisions  are based on the meaning of the words in the context of the sentence.    Word sentiment markers:  The sentiments on the level of individual words are expressed by  single character markers added at the end of the words.    A word might be positive (+)  negative(-)  neutral(empty)  a shifter  (~)  an intensifier (^)  or a diminisher (%).    If a word ends with a hyphen (e.g.  ""auf beziehungs-_ bzw.  partnerschaftliche Probleme-""  an underscore is added to the word in  order to prevent missinterpretations of the hyphen as a negative  marker.    Currently  only words that are part of an NP/PP are marked with  sentiment markers. Annotated words are nouns  adjectives  negation  particles  prepositions  adverbs.    The world level annotation was done by 3 persons individually. The  individual results were harmonized into a single reference annotation.      Phrase level markers:    Each phrase is marked up textually by brackets  e.g. ""[auf  beziehungs-_ bzw. partnerschaftliche Probleme-]"". The type of a phrase  (NP/PP) is not written to the brackets. We follow largely the  annotation model of TIGER for structuring embedded NPs and PPs.    Currently  the following limitations with regard to TIGER exist: (1)  Adjectival phrases are not marked up (2) Relative or infinitival  sentences are not included in NPs/PPs if they appear at the end of a  phrase or if the are discontiguous. We do not only annotate the  phrases which immediately contain words that are marked up as polar.  Any dependent subphrase (NP/PP) is integrated into all its dominating  NPs/PPs  e.g. ""[Die tieferen Ursachen [der Faszination+]]"". Dependent  subphrases without any polar words are also included  however  there  is no internal bracketing for them  e.g. ""[hohe+ Ansprüche an Qualität  und Lage]""    At the level of phrases  we distinguish the following markers:  positive (+)  negative (-)  neutral(0)  bipolar (#). The category  'bipolar' is used mainly for coordinations where negative and positive  sentiments of something are kept in balance by the writer. This is  quite common for a lot of binomial constructions as ""Krieg und  Frieden"".",,https://lod-cloud.net/dataset/mlsa,linguistics,corpora,mlsa
links,,connection links of nug myanmar,,https://lod-cloud.net/dataset/nugmyanmar,,,nugmyanmar00000192f8b641a9
Hellenic Fire Brigade,country-greece; fire; fire-brigade; format-akt; format-dbp; format-dc; format-foaf; format-geo; format-owl; format-rdf; format-rdfs; format-skos; format-tl; government; greece; greek; hellenic; hellenic-fire-brigade; license-metadata; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-proprietary-vocab; provenance-metadata; published-by-producer,The Hellenic Fire Brigade project encompasses efforts to extract valuable information from Greek Open Data originating from the Ministry of Public Order & Citizen Protection and in particular from the Hellenic Fire Brigade Department. It involves mainly fire incident records that span over a ten year period  (2000-2010) and aims to exploit these in the best possible manner so as to form meaningful scenarios. The primary goal is to provide applications and services that would reveal potentials for the department to improve upon its management procedures  have economic benefits from cost reductions and improvements in its fire service efficiency.  A secondary but equally important goal is to encourage additional contributions of Greek Open Data as well as of innovative applications and services based on the latter.,,https://lod-cloud.net/dataset/hellenic-fire-brigade,cultural heritage,,hellenic-fire-brigade
Suggested Ontology for Pharmacogenomics,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,SO-Pharm (Suggested Ontology for Pharmacogenomics) is a domain ontology implemented in OWL-DL  which proposes a formal description of pharmacogenomic knowledge. SO-Pharm articulates different ontologies that represent complementary sub-domains of pharmacogenomics  i.e. related to genotype  phenotype  drugs  and clinical trials. SO-Pharm enables to represent pharmacogenomic relationships between a drug  a genomic variation and a phenotype trait. In addition  it enables to represent patient and more largely panel included in trials  and populations. SO-Pharm enables the representation of measured items on this patients such as results from the observation of a phenotype trait or of genomic variations. SO-Pharm supports knowledge about pharmacogenomic hypothesis  case study  and investigations in pharmacogenomics. SO-Pharm is designed to facilitate data integration and knowledge discovery in pharmacogenomics. In addition it provides a consistent articulation of ontologies of pharmacogenomic sub-domains.,,https://lod-cloud.net/dataset/bioportal-sopharm,health,Medical Sciences,bioportal-sopharm
EPO patents,bibliographic data; patents; patent applications; patent publication; technical classifications; IPC; CPC; patent priorities; citations; non-patent literature; applicants; inventors; agents; legal representatives,This data set contains information about all EP patents  like applications  publications  technical classifications  citations  patent families and related non-EP patents. The data set is updated weekly,,https://lod-cloud.net/dataset/European_Patent_Information,education,,European_Patent_Information
Bio2RDF::Mesh,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; lodcloud-diagram-2014-08-30; provenance-metadata; published-by-third-party; vocab-mappings,The MeSH Browser is an online vocabulary look-up aid available for use with MeSH (Medical Subject Headings). It is designed to help quickly locate descriptors of possible interest and to show the hierarchy in which descriptors of interest appear.,,https://lod-cloud.net/dataset/bio2rdf-mesh,Linguistics,Linguistics,bio2rdf-mesh
Indian Biodiversity,Indian Biodiversity; Ontology,Indian Biodiversity,,https://lod-cloud.net/dataset/https:data.bioontology.orgontologiesIBDsubmissions1downloadapikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb,,,https:data.bioontology.orgontologiesIBDsubmissions1downloadapikey=8b5b7825-538d-40e0-9e9e-5ab9274a9aeb
Open Data of Ecuador,Ecuador; Latin American Linked Data Association; Linked Open Data; Papers; RDF; format-dc; format-foaf; format-org; format-schema; format-skos; format-vivo; library; lod; no-proprietary-vocab; sparql-endpoint; university,Open Data Ecuador Linked Open Data includes data about intellectual production of Ecuador. The data was published in RDF format according to the design issues of Linked Open Data. Data can be accessed from a SPARQL endpoint.   ## Data: ##  * Academic Articles: 6468  * Affiliations: 3121  * Authors: 22030   ##Creator:##  Nelson Piedra @nopiedra  ##Collaborators:##  * Elizabeth Cadme  * Janneth Chicaiza  * Eduardo Encalada  * Richard Guaya  * Jorge Lopez-Vargas  * Diana Torres,,https://lod-cloud.net/dataset/opendataec,,,opendataec
opendatascotland-graph-simd-rank,LinkedDataCrawl2014; crawledLinkedDataCloud2014; dataset-level-metadata; dump; format-cube; format-dcat; format-dcterm; format-rdf; format-rdfs; format-void; government; license-metadata; lodcloud-diagram-2014-08-30; provenance-metadata; sparql,,,https://lod-cloud.net/dataset/opendatascotland-graph-simd-rank,,,opendatascotland-graph-simd-rank
Super Ontology,Matter; space; time; 1-sensed; 2-sensed; 3-sensed; 4-sensed; 5-sensed; reasoning; knowledge base; ontology; intelligent systems; domain ontologies; knowledge representation,The super ontology as is the theme of this paper describes the structure of the universe and  defines the concept of reality. Reality is defined to have an existence that is known as truth.  All objects existing in this world come under the purview of this ontology. All entities belonging to this universe are permanent but undergo countless changes continuously. No destruction takes place during these changes. This ontology is a high-level and Domain independent upper ontology. This ontology is based on a unit of knowledge.,,https://lod-cloud.net/dataset/upper-ontology,,,upper-ontology
NanoParticle Ontology,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,An ontology that represents the basic knowledge of physical  chemical and functional characteristics of nanotechnology as used in cancer diagnosis and therapy.,,https://lod-cloud.net/dataset/bioportal-npo,health,Human Biology,bioportal-npo
National Drug Data File,biomedicine; bioportal; format-rdf; format-rrf; lod; ontology; published-by-third-party,National Drug Data File Plus Source Vocabulary,,https://lod-cloud.net/dataset/bioportal-nddf,health,Medical Sciences/linguistics,bioportal-nddf
Chinese WordNet (as part of Open Multilingual WordNet),lexicon; wordnet; lemon,The Chinese wordnet as published as part of the Open Multilingual WordNet. The goal of Open Multilingual WordNet is to make it easy to use wordnets in multiple languages. The individual wordnets have been made by many different projects and vary greatly in size and accuracy. We have (i) extracted and normalized the data  (ii) linked it to Princeton WordNet 3.0 and (iii) put it in one place. The Open Multilingual Wordnet and its components are open: they can be freely used  modified  and shared by anyone for any purpose. The original URL for this project is http://lope.linguistics.ntu.edu.tw/cwn/,,https://lod-cloud.net/dataset/omwn-cwn,linguistics,corpora,omwn-cwn
statusnet-rainbowdash-net,LinkedDataCrawl2014; crawledLinkedDataCloud2014; format-bio; format-foaf; format-rdf; format-rdfs; format-sioc; lodcloud-diagram-2014-08-30; social web,StatusNet instance hosted at http://rainbowdash.net,,https://lod-cloud.net/dataset/statusnet-rainbowdash-net,,,statusnet-rainbowdash-net
Resilient Computing Courseware (RKBExplorer),deref-vocab; format-dc; format-rdf; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-vocab-mappings; provenance-metadata; publications; published-by-third-party; void-sparql-endpoint,,,https://lod-cloud.net/dataset/rkb-explorer-courseware,,,rkb-explorer-courseware
Universal Dependencies Treebank Italian,corpus; linguistics; lod,Universal Dependencies is a project that seeks to develop cross-linguistically consistent treebank annotation for many languages  with the goal of facilitating multilingual parser development  cross-lingual learning  and parsing research from a language typology perspective. The annotation scheme is based on (universal) Stanford dependencies (de Marneffe et al.  2006  2008  2014)  Google universal part-of-speech tags (Petrov et al.  2012)  and the Interset interlingua for morphosyntactic tagsets (Zeman  2008).    This dataset refers to UD's Italian treebank.,,https://lod-cloud.net/dataset/universal-dependencies-treebank-italian,linguistics,corpora,universal-dependencies-treebank-italian
statusnet-alexandrefranke-com,LinkedDataCrawl2014; crawledLinkedDataCloud2014; format-foaf; format-pos; format-rdf; format-sioc; lodcloud-diagram-2014-08-30; social web,StatusNet instance hosted at http://alexandrefranke.com,,https://lod-cloud.net/dataset/statusnet-alexandrefranke-com,,,statusnet-alexandrefranke-com
ChemPedia RDF,deref-vocab; format-rdf; healthsciences; license-metadata; lifesciences; linkedchemistrydotinfo; lod; lodcloud.nolinks; lodcloud.unconnected; provenance-metadata; published-by-third-party,RDF version of the ChemPedia substances data.,,https://lod-cloud.net/dataset/chempedia-rdf,,,chempedia-rdf
xLiD-Lexica,catalan; chinese; dbpedia; english; german; lexicon; llod; lod; lrec-2014; slovenian; spanish; word-list,Our xLiD-Lexica dataset in RDF (http://km.aifb.kit.edu/resources/xLiD-lexica.nt) contains about 300 million triples of cross-lingual groundings. It is extracted from Wikipedia dumps of July 2013 in English  German  Spanish  Catalan  Slovenian and Chinese  and based on the canonicalized datasets of DBpedia 3.8 containing triples extracted from the respective Wikipedia whose subject and object resource have an equivalent English article. Based on our xLiD-Lexica dataset  we provide a SPARQL endpoint (http://km.aifb.kit.edu/services/xlike-lexicon/) using OpenLink Virtuoso6 as the back-end database engine.,,https://lod-cloud.net/dataset/xlid-lexica,linguistics,lexicon,xlid-lexica
Norwegian geo-divisions,format-cc; format-dct; format-geo; format-geonames; format-ngeoi; format-owl; format-rdf; format-rdfs; geographic; license-metadata; lod; no-proprietary-vocab; provenance-metadata; published-by-third-party; topic.geographic,A dataset with Norwegian Administrative Divisions and their administrative centers.,,https://lod-cloud.net/dataset/norwegian-geo-divisions,,,norwegian-geo-divisions
Linked Data Cultural Heritage Agency of the Netherlands,archeology; archaeology; heritage; cultural heritage,Linked data about cultural-historical objects. This includes built and archaeological national monuments  finds  find locations  complexes  archaeological complexes  research areas and sites. This dataset offers linked open data from the Archaeological Information System (Archis) and the National Monument Register. Both databases are maintained by the RCE. Archis contains data on archaeological sites and sites in the Netherlands. The National Monuments Register contains information about all monuments in the Netherlands that have been designated by the State as protected monuments. These are historical buildings  archaeological sites or green  landscaped buildings.,,https://lod-cloud.net/dataset/ceo,cultural heritage,,ceo0000018bdd6b12ef
Comparative Data Analysis Ontology,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,A formalization of concepts and relations relevant to evolutionary comparative analysis  such as phylogenetic trees  OTUs (operational taxonomic units) and compared characters (including molecular characters as well as other types). CDAO is being developed by scientists in biology  evolution  and computer science,,https://lod-cloud.net/dataset/bioportal-cdao,health,Genetics,bioportal-cdao
eagle-i @ Ponce School of Medicine,deref-vocab; format-bibo; format-dc; format-ero; format-foaf; format-ncbitaxon; format-oboso; format-pobo; format-ro; format-vivo; lifesciences; lod; provenance-metadata; published-by-producer; vocab-mappings,Groundbreaking biomedical research requires access to cutting edge scientific resources; however such resources are often invisible beyond the laboratories or universities where they were developed. eagle-i is a national research resource discovery platform to help biomedical scientists search for and find previously invisible  but highly valuable  resources.   Resource descriptions collected at each participating institution are freely available as linked open data.  See: http://www.eagle-i.net/,,https://lod-cloud.net/dataset/eagle-i-psm,Education,Education,eagle-i-psm
Traffic Scotland,air-transport; format-compass; format-foaf; format-owl; format-rdf; geographic; government; license-metadata; lodcloud-diagram-2011-09-19; no-deref-vocab; published-by-third-party; road-transport; roads; scotland; traffic,Data from http://trafficscotland.org converted to RDF regularly. Currently the data is only the current incidents  but hopefully this should expand.,,https://lod-cloud.net/dataset/traffic-scotland,publication,,traffic-scotland
Emotion Ontology,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,An ontology of affective phenomena such as emotions  moods  appraisals and subjective feelings  designed to support interdisciplinary research by providing unified annotations.  The ontology is a domain specialisation of the broader Mental Functioning Ontology.,,https://lod-cloud.net/dataset/bioportal-mfoem,health,neurosciences,bioportal-mfoem
General Ontology of Linguistic Description,linguistics; llod; lod; ontology,GOLD is an ontology for descriptive linguistics.,,https://lod-cloud.net/dataset/gold,linguistics,lexicon,gold
UMBEL (Upper Mapping and Binding Exchange Layer),broken_link; concepts; crossdomain; deref-vocab; format-foaf; format-lingvoj; format-owl; format-rdf; format-rdfs; format-skos; format-umbel; format-vann; format-vs; linked-data; linked-open-data; linkeddata; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-provenance-metadata; published-by-producer; reference-concepts; schemata; subjects; vocab-mappings,A lightweight  reference structure of 28 000 subject concepts for the Web. UMBEL is jointly developed and maintained by [Structured Dynamics LLC](http://structureddynamics.com) and [Ontotext AD](http://www.ontotext.com/).    There is a total of 46 173 external data links.,,https://lod-cloud.net/dataset/umbel,,,umbel
Quantitative Imaging Biomarker Ontology,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,An ontology that describes various concepts in quantitative imaging biomarkers.,,https://lod-cloud.net/dataset/bioportal-qibo,health,,bioportal-qibo
RDFLicense,crossdomain; licenses; lod,This dataset contains 126 licenses (suitable for general works  data  etc.) expressed as RDF. The official URI of the dataset is:     http://purl.org/NET/rdflicense    (it implements content negotiation).  Individual licenses can be also accessed directly. For example  the Creative Commons CC-BY 3.0 for Greece can be found as: http://purl.org/NET/rdflicense/cc-by-3.0-gr etc.)    This work is the joint effort of OEG-UPM (Víctor Rodríguez-Doncel) and INRIA (Serena Villata).    The editors have not acted in behalf of any of the license issuers  do not claim the legal value of this RDF-version of the licenses  and explicitly decline any responsibility in their use.,,https://lod-cloud.net/dataset/rdflicense,,,rdflicense
opendatacommunities-wellbeing-lsoa-happy-yesterday-mean,LinkedDataCrawl2014; crawledLinkedDataCloud2014; dataset-level-metadata; dump; format-dcat; format-dcterm; format-rdf; format-rdfs; format-void; government; license-metadata; lodcloud-diagram-2014-08-30; provenance-metadata; sparql,,,https://lod-cloud.net/dataset/opendatacommunities-wellbeing-lsoa-happy-yesterday-mean,,,opendatacommunities-wellbeing-lsoa-happy-yesterday-mean
Smart Points Of Interest @PSNC,smart point of interest; openstreet map; geonames; dbpedia,The Smart Points of Interest dataset (SPOI) is the seamless and open resource of POIs that is available for all users to download  search or reuse in applications and services SPOI’s principal target is to provide information as Linked data together with other dataset containing road network. The added value of the Smart approach in comparison to other similar solutions consists in implementation of linked data  using of standardized and respected datatype properties and development of the completely harmonized dataset with uniform data model and common classification. The SPOI dataset is created as a combination of global data (selected points from OpenStreetMap) and local data provided by the SDI4Apps partners or data available on the web. The dataset can be reached by Sparql endpoint (http://data.plan4all.eu/sparql)  for detailed information please follow: http://sdi4apps.eu/spoi.,,https://lod-cloud.net/dataset/Smart_POI_dataset,,,Smart_POI_dataset
lobid-organisations,addresses; archive; authorities; authority; format-foaf; format-geo; format-geonames; format-hcard; format-vcard; format-xsd; germany; library; license-metadata; lld; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; lodcloud.nolinks; museum; no-proprietary-vocab; no-vocab-mappings; organisations; organizations; provenance-metadata; publications; published-by-producer,lobid-organisation is an Index of libraries and related organisations  It provides URIs for > 44 k  *library-organisations* and *museums*.The URIs are based on the existing and well established International Standard Identifier for Libraries and Related Organizations (*ISIL*) which can also act as MARC Organization Codes. They are assigned to library institutions by national or institutional agencies. There are ca. **44.000** institutions described.    You can find additional information about this data [here](https://wiki1.hbz-nrw.de/pages/viewpage.action?pageId=1572888).,,https://lod-cloud.net/dataset/lobid-organisations,cultural heritage,,lobid-organisations
C. elegans gross anatomy,biomedicine; bioportal; format-obo; format-rdf; lod; ontology; published-by-third-party,A structured controlled vocabulary of the anatomy of <i>Caenorhabditis elegans</i>.,,https://lod-cloud.net/dataset/bioportal-wbbt,Linguistics,Linguistics,bioportal-wbbt
British National Bibliography (BNB) - Linked Open Data,bibliographic; british-library; cc0; crossdomain; format-rdf; format-xhtml; format-xml; library; lld; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-proprietary-vocab; publications; published-by-producer,British National Bibliography (BNB) published as Linked Data by the British Library  linked to external sources including: [VIAF](http://viaf.org/)  [ISNI](http://isni.org)  [LCSH](http://id.loc.gov/authorities/)  [Lexvo](http://www.lexvo.org/)  [GeoNames](http://www.geonames.org/ontology/documentation.html)  MARC [country](http://id.loc.gov/vocabulary/countries.html)  and [language](http://id.loc.gov/vocabulary/languages.html)  [Dewey.info](http://dewey.info/).  Published to [this data model for books](https://www.bl.uk/bibliographic/pdfs/bldatamodelbook.pdf); [this data model for serials](https://www.bl.uk/bibliographic/pdfs/bldatamodelserial.pdf) and this data model for forthcoming books (http://www.bl.uk/bibliographic/pdfs/bldatamodelcip.pdf).    Current release of approximately 3.9 million descriptions (146 901 135 triples) of books (including monographs published over time); forthcoming books and serials published in the UK over the last 60 years.The dataset  covering UK publications since 1950  is updated monthly.,,https://lod-cloud.net/dataset/bluk-bnb,SLR,,bluk-bnb
GeoLinkedData,country-spain; deref-vocab; format-dc; format-rdf; geodata; geographic; government; lod; no-license-metadata; no-provenance-metadata; no-vocab-mappings; published-by-third-party; sparql,GeoLinkedData (.es) is an open initiative whose aim is to enrich the Web of Data with Spanish geospatial data. This initiative started off by publishing diverse information sources belonging to the National Geographic Institute of Spain. Such sources are made available as RDF (Resource Description Framework) knowledge bases according to the Linked Data principles. These data are interlinked with other knowledge bases belonging to the Linking Open Data Initiative.,,https://lod-cloud.net/dataset/geolinkeddata,Education,,geolinkeddata
Linked Crunchbase,crunchbase; format-rdf; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-proprietary-vocab; published-by-third-party; usergeneratedcontent; wrapper,A CrunchBase wrapper to Linked Data,,https://lod-cloud.net/dataset/linked-crunchbase,,,linked-crunchbase
Cognitive Paradigm Ontology,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,This ontology is used to describe the experimental conditions within cognitive/behavioral experiments  primarily in humans.,,https://lod-cloud.net/dataset/bioportal-cogpo,health,Human Biology,bioportal-cogpo
Sherry Wine,,Se trata de un vocabulario diseñado para conocer y exponer los vinos y sus principales características de la Denominación de Origen de Jerez (Sherry Wine).,,https://lod-cloud.net/dataset/Sherry_Wine_,,,Sherry_Wine_
OpenWN-PT WordNet (as part of Open Multilingual WordNet),lexicon; wordnet; lemon,The OpenWN-PT wordnet as published as part of the Open Multilingual WordNet. The goal of Open Multilingual WordNet is to make it easy to use wordnets in multiple languages. The individual wordnets have been made by many different projects and vary greatly in size and accuracy. We have (i) extracted and normalized the data  (ii) linked it to Princeton WordNet 3.0 and (iii) put it in one place. The Open Multilingual Wordnet and its components are open: they can be freely used  modified  and shared by anyone for any purpose.,,https://lod-cloud.net/dataset/omwn-por,linguistics,lexicon,omwn-por
statusnet-mulestable-net,LinkedDataCrawl2014; crawledLinkedDataCloud2014; format-bio; format-foaf; format-pos; format-rdf; format-rdfs; format-sioc; lodcloud-diagram-2014-08-30; social web,StatusNet instance hosted at http://mulestable.net,,https://lod-cloud.net/dataset/statusnet-mulestable-net,,,statusnet-mulestable-net
Chiman Maru,Entrepreneur; Filmmaker; IT; ERP Solutions; Web Development; Digital Marketing.,Chiman Maru is an Indian entrepreneur and the founder and CEO of FynoX Inc.  an IT company specializing in ERP solutions  web development  and digital marketing services. He is also a filmmaker  known for directing the documentary Madhavpur: A Cinematic Journey (2024).,,https://lod-cloud.net/dataset/ChimanMaru_Entrepreneur,,,ChimanMaru_Entrepreneur00000192870a7c3e
plWordNet WordNet (as part of Open Multilingual WordNet),lexicon; wordnet; lemon,The plWordNet wordnet as published as part of the Open Multilingual WordNet. The goal of Open Multilingual WordNet is to make it easy to use wordnets in multiple languages. The individual wordnets have been made by many different projects and vary greatly in size and accuracy. We have (i) extracted and normalized the data  (ii) linked it to Princeton WordNet 3.0 and (iii) put it in one place. The Open Multilingual Wordnet and its components are open: they can be freely used  modified  and shared by anyone for any purpose.,,https://lod-cloud.net/dataset/omwn-pol,linguistics,lexicon,omwn-pol
statusnet-fcac-com,LinkedDataCrawl2014; crawledLinkedDataCloud2014; format-bio; format-foaf; format-pos; format-rdf; format-sioc; lodcloud-diagram-2014-08-30; social web,StatusNet instance hosted at http://fcac.com,,https://lod-cloud.net/dataset/statusnet-fcac-com,,,statusnet-fcac-com
Romanian Named Entity Recognition in the Legal domain (LegalNERo),named entity recognition; legal domain,LegalNERo is a manually annotated corpus for named entity recognition in the Romanian legal domain.  It provides gold annotations for organizations  locations  persons  time and legal resources mentioned in legal documents. Additionally it offers GEONAMES codes for the named entities annotated as location (where a link could be established).,,https://lod-cloud.net/dataset/racai-legalnero,cultural heritage,,racai-legalnero
Whisky Circle,whisky; wordlift,Whisky Circle dataset  built with WordLift for the https://www.whisky-circle.info/ website,,https://lod-cloud.net/dataset/whisky-circle-info,,,whisky-circle-info
MeGO,biomedicine; bioportal; format-obo; format-rdf; lod; ontology; published-by-third-party,bacteriophage and plasmid reproduction and maintenance processes,,https://lod-cloud.net/dataset/bioportal-mego,health,Genetics,bioportal-mego
