,_id,url,title,description,keywords,topic,field used for the classification,comments,DISCUSSED,TO BE DECIDED
8,SDG0000019242367ae8,https://lod-cloud.net/dataset/SDG,A Knowledge Organization System for the United Nations Sustainable Development Goals,In December 2017  an informal working group led by the Department of Economic and Social Affairs and the Secretariat of the United Nations High Level Committee on Management  and composed by technical experts from across the UN System  started working on a proposal to developed a system of Internationalized Resource Identifiers (IRIs) for Sustainable Development Goals  Targets  Indicators and related statistical series to support the development of a United Nations system-wide ecosystem of machine-readable data and documents based on Linked Open Data (LOD) principles.  In order to ensure their fullest possible use  the Identifiers and a formal Statement of Adoption were presented at the second regular session of the UN System Chief Executives Board for Coordination (CEB)  in November 2019. At the CEB  the Secretary-General invited all UN organizations to use them to map their SDG-related resources and sign the Statement.  Unique Identifiers for the sustainable development goals  targets and indicators  The system of Internationalized Resource Identifiers (IRIs) for Sustainable Development Goals  Targets  Indicators and related statistical series is now part of the Semantic Web infrastructure that the UN Dag Hammarskjold Library makes available to IT developers and the public at large under http://metadata.un.org/sdg/?lang=en.  It formalizes links between the goals  targets  indicators and series  and two other crucial elements in the Linked Open Data infrastructure maintained by the United Nation System  namely: (1) the UN Bibliographic Information System maintained by the UN Dag Hammarskjold Library  and (2) the SDG Interface Ontology  maintained by UN Environment.   The identifiers allow the use of Semantic Web technologies to:  •             Provide a web-based mechanism to make SDG-related data and information assets accessible  inter-operable and re-usable   •             Organically discover relevant and authoritative SDG data and information among the multitude of available sources on the web  •             Enable the development of applications that integrate authoritative data  concepts and definitions from a large number of formerly unknown sources.  Metadata about the SDG Ontology/KOS in a machine-accessible VoID/LIME file is available at http://metadata.un.org/sdg/void.ttl,Sustainable Development; SDG; United Nations,not classfied,,,,
609,Altawil,https://lod-cloud.net/dataset/Altawil,AAT-atawil,AAT notes,,not classfied,"unclear from TITLE-ABS-KEYWORD
- a single url is provided and it requires to log in",,,
812,bioportal-aba,https://lod-cloud.net/dataset/bioportal-aba,ABA Adult Mouse Brain,Allen Brain Atlas P56 Mouse Ontology,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,ontology,,,
146,acadonto,https://lod-cloud.net/dataset/acadonto,AcadOnto,An academic domain ontology populated using IIT Bombay organization corpus  web and the linked open data.     Usage: Information Extraction  Information Retrieval	    Availability: Freely Avalable,english; information-extraction; llod; lod; lrec-2014; ontology,education,academic data,,,
1327,grrp,https://lod-cloud.net/dataset/grrp,Accommodations in Piedmont (LinkedOpenData.it),List of accommodations in Piedmont  Italy. The dataset uses GoodRelations and vcard and includes addresses  contact information (where available) and geo-reference. Note: geo-reference is provided in a best effort way  might contain errors.,accommodation; country-italy; deref-vocab; format-gr; format-rdf; format-vcard; geographic; goodrelations; hotel; license-metadata; linkeddata; lod; lodcloud-diagram-2011-09-19; piedmont; piemonte; provenance-metadata; published-by-third-party; void-sparql-endpoint,tourism,,,,
1328,grrt,https://lod-cloud.net/dataset/grrt,Accommodations in Tuscany (LinkedOpenData.it),List of accommodations in Tuscany  Italy.  The dataset uses GoodRelations and vcard and includes addresses  contact information (where available) and geo-reference. Note: geo-reference is provided in a best effort way  might contain errors.,accommodation; deref-vocab; format-gr; format-rdf; format-vcard; goodrelations; government; hotels; italy; license-metadata; linkeddata; lod; lodcloud.unconnected; provenance-metadata; published-by-third-party; tourism; tuscany; void-sparql-endpoint,tourism,,,,
1052,cz-sidc-drug-ingredients,https://lod-cloud.net/dataset/cz-sidc-drug-ingredients,Active ingredients of medicinal products available in Czech Republic,This dataset provides data about active ingredients contained in medicinal products available in Czech republic. The dataset was created on the base of information published on the web site of Czech State Institute for Drug Control.,czech; czech-republic; deref-vocab; format-dcterms; format-skos; license-metadata; lifesciences; lod; no-vocab-mappings; provenance-metadata; published-by-third-party,health,from the title: medicinal products,,,
85,addgene,https://lod-cloud.net/dataset/addgene,Addgene,Data exposed: Addgene catalog (tab delimited file)    Size of dump and data set: 1.1 MB    Notes: provided to Science Commons by Addgene    ### Openness: ?    T&C here: http://www.addgene.org/pgvec1?f=a&cmd=showfile&file=terms    However hard to work out what these mean ...,ckanupload.esw.200910; format-rdf; genetics; license-unclear; linkeddata; lod; lodcloud.nolinks; lodcloud.unconnected; rdf; size-small,health,gene is mentioned in title and abstract. genetics is mentioned in the keywords, ,,
342,bioportal-aero,https://lod-cloud.net/dataset/bioportal-aero,Adverse Event Reporting ontology,The Adverse Event Reporting Ontology (AERO) is an ontology aimed at supporting clinicians at the time of data entry  increasing quality and accuracy of reported adverse events.,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,clinicians is mentioned in the description,,,
711,aegp-spanish-textile-and-clothing-association,https://lod-cloud.net/dataset/aegp-spanish-textile-and-clothing-association,"AEGP, Spanish Textile and Clothing Association","<p>  Semantic catalog of the <a href=""http://www.agrupaciontextil.org/"">Spanish Textile and Clothing Association (AEGP) companies</a>. AEGP is a voluntary professional national association that promotes the competitiveness of its companies through the promotion  defense and representation of their professional  economic and work interests. It offers specialized services that enhance their position in the environment. The catalog includes 2 500 textile and clothing companies.  </p>  <p>  AEGP works with <a href=""http://gnoss.com/"">GNOSS software (RIAM Intelearning Lab)</a>. RIAM is a company that develops semantic technology for the creation of specialized networks and linked markets. The project includes a faceted-based search engine and enriched contexts. Both are developments by GNOSS.  </p>    <p>  Catálogo semántico de las empresas de la <a href=""http://www.agrupaciontextil.org/"">Agrupación Española del Género de Punto (AEGP)</a>. AEGP es una asociación profesional voluntaria de ámbito estatal cuyo objetivo es impulsar la competitividad de las empresas asociadas  a través del fomento  la defensa y la representación de sus intereses laborales  profesionales y económicos y  mediante una oferta de servicios especializados que les permitan mejorar su posición en el entorno. El catálogo recoge 2500 empresas del sector.  </p>  <p>  AEGP trabaja con <a href=""http://gnoss.com/"">software de GNOSS (RIAM Intelearning Lab)</a>. RIAM es una compañía que desarrolla tecnología semántica para la creación de redes especializadas y mercados enlazados. El proyecto incluye un buscador facetado y contextos enriquecidos.  </p>",aegp; corporate excellence; country-spain; country.es; dc; empresas; foaf; format-dc; format-dcam; format-foaf; format-rdfg; format-sioc; format-skos; format-wot; gnoss; laboratorio de ideas; language-spa; license-metadata; lod; no-proprietary-vocab; no-vocab-mappings; provenance-metadata; published-by-third-party; schemata; sioc; skos; socialweb; sp; spain; usergeneratedcontent; wrapper,not classified,,,,
282,aemet,https://lod-cloud.net/dataset/aemet,AEMET metereological dataset,AemetLinked Data (.es) is an open initiative of the Ontology Engineering Group (OEG) whose aim is to enrich the Web of Data with Spanish geospatial data. This initiative started off by publishing diverse information sources belonging to the Spanish Meteorological Agency.,crossdomain; deref-vocab; format-geo; format-geobuddies; format-ssn; format-w3c-owl-time; geographic; linked-sensor-data; lod; meteorology; no-license-metadata; provenance-metadata; published-by-third-party; spain; ssn-ontology; topic.crossdomain; topic.geographic; vocab-mappings; weather; weather-forecasts,non classified - meteo (geography?),,,,
1343,bioportal-atmo,https://lod-cloud.net/dataset/bioportal-atmo,African Traditional Medicine,African Traditional Medicine Ontology (ATMO) describes the actors' function (healer  fetishist or soothsayer); the different types of proposed process treatment  the symptom's roles and the disease consideration.,biomedicine; bioportal; format-obo; format-rdf; lod; ontology; published-by-third-party,health,medicine is cited in title and abstract,,,
1365,cz-ovm-agendas,https://lod-cloud.net/dataset/cz-ovm-agendas,Agendas of institutions of public power of the Czech Republic,Agendas of institutions of public power,czech; czech-republic; deref-vocab; format-adms; format-skos; government; license-metadata; lod; no-vocab-mappings; provenance-metadata; published-by-third-party,not classified,,,,
980,agrinepaldata,https://lod-cloud.net/dataset/agrinepaldata,AgriNepalData,Ontology Based Data Access and Integration for Improving the Effectiveness of Farming in Nepal,aksw; lod,not classified,,,,
706,agris,https://lod-cloud.net/dataset/agris,AGRIS,AGRIS is one of the most important world-wide information systems in the area of the agricultural sciences. AGRIS is an initiative that was set up by FAO of the United Nations in 1974 to make information on agriculture research globally available. The historical overall objective of AGRIS is to improve access and exchange of information serving “the information needs of developed and developing countries on a partnership basis”.,agriculture; deref-vocab; fisheries; forestry; hunger; lod; publications; published-by-third-party,not classified,,,,
62,agrovoc,https://lod-cloud.net/dataset/agrovoc,AGROVOC,AGROVOC is a controlled vocabulary covering all areas of interest of the Food and Agriculture Organization (FAO) of the United Nations  including food  nutrition  agriculture  forestry  fisheries  scientific and common names of animals and plants  environment  biological notions  techniques of plant cultivation and more.. It is published by FAO and edited by a community of experts.  AGROVOC is an RDF/ SKOS-XL concept scheme  and a Linked Open Data (LOD) set edited by the VocBench tool. It is available in up to 41 languages. The basic notions for a concept scheme are: concepts and terms. Concepts are grouped into 25 broad subject areas. For more information on the structure of the thesaurus and its historical background please consult the thesaurus introduction.  AGROVOC is widely used in specialized libraries as well as digital libraries and repositories to index content and for the purpose of text mining. It is also used as a specialized tagging resource for knowledge and content organization by FAO and other third-party stakeholders.,food; nutrition; agriculture; forestry; fisheries; scientific and common names of animals and plants; environment; biological notions; techniques of plant cultivation,"linguistic, cultural heritage","it refers to food, but not as culinary heritage.  As the description mentions that it is a controlled vocabulary, at most I would classify it as LINGUISTIC.",,yes,yes
669,bioportal-air,https://lod-cloud.net/dataset/bioportal-air,AI/RHEUM,AI/RHEUM is used for the diagnosis of rheumatologic diseases. AI/RHEUM contains findings  such as clinical signs  symptoms  laboratory test results  radiologic observations  tissue biopsy results  and intermediate diagnosis hypotheses. Findings and hypotheses  which include definitions  are used to reach diagnostic conclusions with definite  probable  or possible certainty. AI/RHEUM is used by clinicians and informatics researchers.,biomedicine; bioportal; format-rdf; format-rrf; lod; ontology; published-by-third-party,health,rheumatologic diseases from the description,,,
539,data-incubator-our-airports,https://lod-cloud.net/dataset/data-incubator-our-airports,Airport data from Our Airports published as RDF,### Description    Data exposed: Information about airports  originally from package:ourairports  here re-published as RDF.    Notes: Dump available by contact    ### Issues    The dataset does not appear to be actively maintained. There are quality issues with the owl:sameAs links.,ckanupload.esw.200910; format-rdf; geographic; lodcloud-diagram-2011-09-19; no-deref-vocab; no-license-metadata; no-provenance-metadata; no-vocab-mappings; published-by-third-party; rdf,not classified,,,,
1277,ISSN:_0080-3626.,https://lod-cloud.net/dataset/ISSN:_0080-3626.,Aktualne zagadnienia klasyfikacji map,Rozprawa Mikołaja Dzikowskiego na temat typów oraz katalogów dotyczących map,,not classified,"unclear from TITLE-ABS-KEYWORDS
description not in english
inaccessible and almost empty (metadata declare a single row added)","not in english
inaccessible and almost empty",,
926,omwn-als,https://lod-cloud.net/dataset/omwn-als,Albanet WordNet (as part of Open Multilingual WordNet),The Albanet wordnet as published as part of the Open Multilingual WordNet. The goal of Open Multilingual WordNet is to make it easy to use wordnets in multiple languages. The individual wordnets have been made by many different projects and vary greatly in size and accuracy. We have (i) extracted and normalized the data  (ii) linked it to Princeton WordNet 3.0 and (iii) put it in one place. The Open Multilingual Wordnet and its components are open: they can be freely used  modified  and shared by anyone for any purpose.,lexicon; wordnet; lemon,linguistic,"from the title, it is a linguistic version of wordnet",,,
1455,aliada-scanbit-net,https://lod-cloud.net/dataset/aliada-scanbit-net,aliada-scanbit-net,Open linked data from the Library and Museum of ARTIUM,format-foaf; format-frbroo; format-owl; format-owltime; format-skos; format-wgs84; license-metadata; lod; no-proprietary-vocab; no-vocab-mappings; provenance-metadata; publications; published-by-producer,cultural heritage,"from the description, library and museum of ARTIUM is the curator.",,,
517,AISHE0000018bf3beed86,https://lod-cloud.net/dataset/AISHE,All India Survey of Higher Education,It is ontology based dataset. developed by Ronak Panchal,,education,from the title,emtpy and almost inaccessible,,
897,allie-abbreviation-and-long-form-database-in-life-science,https://lod-cloud.net/dataset/allie-abbreviation-and-long-form-database-in-life-science,Allie Abbreviation And Long Form Database in Life Science,A database of abbreviations and long forms utilized in Lifesciences. It provides a solution to the issue that many abbreviations are used in the literature  and polysemous or synonymous abbreviations appear frequently  making it difficult to read and understand scientific papers that are not relevant to the reader's expertise. Allie contains abbreviations and their corresponding long forms extracted from titles and abstracts in the entire MEDLINE®  a database of the U.S. National Library of Medicine. MEDLINE stores over 20 million bibliographic information in life science and is suitable for extracting domain specific abbreviations and their long forms appearing in actual literature.,lingusitic,"health, linguistic",life science mentioned in the title. linguistic from the description?,,,
1629,austrian_ski_racers,https://lod-cloud.net/dataset/austrian_ski_racers,Alpine Ski Racers of Austria,Austrian top-skiers active in world cup.,alpinism; country-austria; crossdomain; deref-vocab; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; skiing; sports; tourism,sport,from title-abstract-keyword,,,
143,alpino-rdf,https://lod-cloud.net/dataset/alpino-rdf,ALPINO RDF Treebank,Export of the ALPINO Dutch Treebank to RDF.,llod; lod; lodcloud-diagram-2014-08-30,not classified,"unclear from title-abstract-keyword
links doesn't work (404)",,,
1317,Amer_Nejma,https://lod-cloud.net/dataset/Amer_Nejma,Amer Nejma,Amer Nejma (born November 13 1989) is an Irish-Tunisian Record Producer Based in Ireland. Amer is also known as founder of El Distro Network  Records and Publishing Inc.,Amer Nejma; El Distro Network; Irish Producer; Tunisian producer,not classified,"unclear from title-abstract-keyword
links doesn't work",empty and inaccessible resource,,
855,bioportal-amino-acid,https://lod-cloud.net/dataset/bioportal-amino-acid,Amino Acid,An ontology of amino acids and their properties. Inferred version.,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,amino acids in title and abstract,,,
772,bioportal-aao,https://lod-cloud.net/dataset/bioportal-aao,Amphibian gross anatomy,A structured controlled vocabulary of the anatomy of Amphibians.,biomedicine; bioportal; format-obo; format-rdf; lod; ontology; published-by-third-party,health,anatomy in title and abstract,,,
208,bioportal-ato,https://lod-cloud.net/dataset/bioportal-ato,Amphibian taxonomy,A taxonomy of Amphibia,biomedicine; bioportal; format-obo; format-rdf; lod; ontology; published-by-third-party,health,anatomy in title and abstract,,,
165,amsterdam-museum-as-edm-lod,https://lod-cloud.net/dataset/amsterdam-museum-as-edm-lod,Amsterdam Museum as Linked Open Data in the Europeana Data Model,The Amsterdam Museum dataset describes more than 70.000 cultural heritage objects related to the city of Amsterdam described by the museum.     The metadata was retrieved from an XML Web API of the museum's Adlib collection database and converted to RDF compliant with the Europeana Data Model (EDM). This makes the Amsterdam Museum data the first of its kind to be officially converted and made available in this format.,amsterdam; country-netherlands; crossdomain; cultural; culturalheritage; datagovuk; deref-vocab; edm; europeana; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; museum; no-license-metadata; no-provenance-metadata; publications; published-by-third-party; rdf; vu,cultural heritage,amsterdam museum in title and abstract,,,
1109,model10000018e0765eeca,https://lod-cloud.net/dataset/model1,An automatic approach for land-change detection and land updates based on integrated NDVI timing analysis and the CVAPS method with GEE support,Land-use/land-cover information is the basis of global-change research and regional governmental management. Automatic approaches are always required to update land maps for large-scale areas  and change detection techniques are the most important component of land-updating methods. Previous research has confirmed that simple change detection based on Landsat images from two different years with two different phenophases yields unsatisfactory results and may induce many misclassifications and pseudo-change identifications because of the phenological differences between remote sensing images. With the support of the Google Earth Engine (GEE)  we propose a land-use/land-cover type discrimination method based on a classification and regression tree (CART)  apply change-vector analysis in posterior probability space (CVAPS) and the best histogram maximum entropy method for change detection  and further improve the accuracy of the land-updating results in combination with NDVI timing analysis  which indicates the annual growth of ground vegetation. In the case study  we select western China as the research area and obtain a 2014 land map based on the ESA GlobCover 2009 dataset. The results confirm that the accuracy of the land-renewal results based on the CART-CVAPS-NDVI method reach 78.6-88.2%  which is 4-10% higher than that of the CART-CVPAS method without NDVI timing analysis. The CART-CVAPS-NDVI method has more detailed and accurate resolutions for land-change detection.,NDVI; timing analysis,not classified - geography,,,,
1400,AIM0000018f29a83ba9,https://lod-cloud.net/dataset/AIM,Analytics India Magazine,Analytics India Magazine (AIM) is a digital publication established in 2012  based in Bengaluru  India. It specializes in the domain of analytics  artificial intelligence  data science  and big data  providing a platform for deep technical knowledge and insights into the broader implications of technological advancements. AIM features a variety of content including articles  interviews  news  events  and research. It also supports a job portal specifically targeted at the analytics sector. The magazine has a substantial following and is recognized for its contribution to the analytics and technology community in India,AIM,not classified,,magazine,,
819,bioportal-aeo,https://lod-cloud.net/dataset/bioportal-aeo,Anatomical Entity Ontology,AEO is an ontology of anatomical structures that expands CARO  the Common Anatomy Reference Ontology  to about 200 classes using the is_a relationship; it thus provides a detailed type classification for tissues. The new classes were chosen for their use in categorizing the major vertebrate and invertebrate anatomy ontologies at a granularity adequate for tissues of a single cell type. The ontology should be useful in increasing the amount of knowledge in anatomy ontologies  facilitating annotation and enabling interoperability across anatomy ontologies,biomedicine; bioportal; format-obo; format-rdf; lod; ontology; published-by-third-party,health,"anatomical entity from the title and abstract
ontology",,,
833,bioportal-adw,https://lod-cloud.net/dataset/bioportal-adw,Animal natural history and life history,An ontology for animal life history and natural history characteristics suitable for populations and higher taxonomic entities.,biomedicine; bioportal; format-owl; format-rdf; lod; ontology; published-by-third-party,health,"it is clear by title and abstract that it is related to animals. unclear if it is relevant from health. in the keywrods, biomedicine is mentioned. I would tag it as health.",,,
371,Anime,https://lod-cloud.net/dataset/Anime,Anime Dataset,We are using an Anime Dataset to get information about our favorite anime. Anime is computer generated Animation originating from Japan. Our Dataset contains unique identifiers for each Anime. Title of the anime  Synopsis of the Anime which is the brief summary of the anime. The Genre of the anime  along with the Air Date of the Anime no. Episodes  members  popularity  ranking  score  image_url and Anime link on the most famous Anime Website MyAnimeList.com.,,not classified,anime,,,
264,anno0000018da2d42240,https://lod-cloud.net/dataset/anno,ANNO,The Anthropological Notation Ontology (ANNO) allows the systematic and standardized classification of recovered bone finds into the skeletal system  the description of the skeletal pieces  and the definition of functions for the derivation of different phenotypes of humans in forensic and historical anthropology. ANNO consists of two components: ANNOdc  a domain-core ontology providing core entities such as basic anatomical categories  and ANNOds  a domain-specific ontology used for annotating structures of the human skeleton. ANNO is integrated into AnthroWorks3D  a photogrammetry pipeline and application for the creation and analysis of 3D-models of human skeletal remains. The integration is based on the three-ontology method with the General Formal Ontology as the top-level ontology  ANNOdc as the task ontology and ANNOds as the domain ontology. Thus  AnthroWorks3D only needs to implement access to the entities (classes and properties) of the task ontology  whereas the entities of the corresponding domain ontology are imported dynamically. ANNO supports the analysis of skeletal and bone finds in forensic and historical anthropology  facilitating the standardization of data annotation and ensuring accurate preservation of information for posterity.,anthropology,health,antropology from the description,,,
1038,AntiqueCarsCollection,https://lod-cloud.net/dataset/AntiqueCarsCollection,Antique Cars Collection (Linked Cars),This dataset concerns a collection of 21 antique cars owned by different organizations around the world. It has been used in a proof-of-concept Semantic Web application (demonstrating Web components and JSON-LD data). Created by Markopoulos Athanasios  student of the University of the Aegean  Dept. of Cultural Technology and Communication  2021 (as part of his graduate thesis).,Linked Data; Antique Cars; Cars; Web Components; JSON-LD; Car Collection,not classified,cars,,,
1532,apache,https://lod-cloud.net/dataset/apache,apache,,LinkedDataCrawl2014; crawledLinkedDataCloud2014; format-admin; format-cc; format-dcterm; format-doap; format-foaf; format-owl; format-pos; format-rdf; format-rdfs; format-rss; format-w3con; format-wot; license-metadata; lod; lodcloud-diagram-2014-08-30; non-deref-vocab; provenance-metadata; usergeneratedcontent,not classified,"unclear from title, description, keyword. licenses from the title?",,,
804,apertium-rdf,https://lod-cloud.net/dataset/apertium-rdf,Apertium RDF,This dataset groups all the Apertium RDF bilingual dictionaries (see the whole list at  http://datahub.ckan.io/dataset?q=apertium+rdf&organization=oeg-upm). The dictionaries were converted into RDF from their LMF version  which can be found in Meta-Share (http://metashare.upf.edu/). The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation).   The Apertium RDF version has been generated by OEG (Universidad Politécnica de Madrid) jointly with IULA (Universitat Pompeu Fabra).  More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,apertium; bilingual; dictionary; lemon; lexical-resource; lexicon; linguistic LOD; llod; lod; multilingual; rdf; translation,linguistic,from title-abs-keyword,,,
343,apertium-rdf-ca-it,https://lod-cloud.net/dataset/apertium-rdf-ca-it,Apertium RDF CA-IT,RDF version of the Apertium bilingual dictionary CA-IT. The original dataset (in LMF) comes from http://hdl.handle.net/10230/17105. The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,Apertium; Catalan; Italian; bilingual; dictionary; lemon; lexicon; linguistic lod; linguistics; llod; lod; multilingual; rdf; translation,linguistic,from title-abs-keyword,,,
1364,apertium-rdf-en-ca,https://lod-cloud.net/dataset/apertium-rdf-en-ca,Apertium RDF EN-CA,RDF version of the Apertium bilingual dictionary EN-ES The original dataset (in LMF) comes from http://hdl.handle.net/10230/17096. The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,Catalan; English; apertium; bilingual; dictionary; en-ca; lemon; lexicon; linguistic lod; linguistics; llod; lod; multilingual; rdf; translation,linguistic,from title-abs-keyword,,,
1347,apertium-rdf-en-es,https://lod-cloud.net/dataset/apertium-rdf-en-es,Apertium RDF EN-ES,RDF version of the Apertium bilingual dictionary EN-ES. The original dataset (in LMF) comes from http://hdl.handle.net/10230/17110 . The RDF version of the lexica is modelled using lemon (http://lemon-model.net/) and the translation module (http://purl.org/net/translation). More about the Apertium RDF dictionaries at http://linguistic.linkeddata.es/apertium/,English; Spanish; apertium; bilingual; dictionary; lemon; lexicon; linguistic lod; linguistics; llod; lod; multilingual; rdf; translation,linguistic,from title-abs-keyword,,,
