Unnamed: 0,_id,url,title,description,keywords,Mariangela_topic,field used for the classification,comments,DISCUSSED,TO BE DECIDED,Gabriele_topic,Sana_topic
1225,Hermos,https://lod-cloud.net/dataset/Hermos,Hermos,Vineyard powdery mildew (Uncinula necator)  dead arm (Phomopsis viticola) and vineyard downy mildew (Plasmopara viticola) diseases are frequently seen in the vineyards in the Gediz River Basin  West Anatolia of Turkey and cause significant damage to the crop. These diseases can be detected early using artificial intelligence- based systems that can contribute to crop yields and also reduce the labor of the farmer and the amount of pesticides used. This article presents a dataset  namely Hermos  for use in such AI-based systems. The dataset  namely Hermos  contains four classes of grapevine images; leaves with dead root  leaves with powdery mildew  leaves with downy mildew and healthy leaves.,grape leaf disease; dataset; deep learning; image classification,health,diseases mentioned in the abstraact,,yes,,health,
1188,IHE,https://lod-cloud.net/dataset/IHE,3LGM² IHE Ontology,IHE Concepts extracted from IHE Technical Frameworks published by IHE International (https://www.ihe.net/ihe_domains/  https://profiles.ihe.net/),IHE; 3LGM²,health,"Doubt - IHE stands for Integrating the Healthcare Enterprise?

Confirmed by the website","I got it from the webite, unclear from the description",,,,cultural heritage
1278,Luminaires_senlis,https://lod-cloud.net/dataset/Luminaires_senlis,Linked rules,Linked rules description,rules; data,not classified,"unclear from title, abstract, keywords. no links are provided",,,,ND,health
1494,NCMI-COVID-190000019053a1616e,https://lod-cloud.net/dataset/NCMI-COVID-19,COVID-19 Data,Integration of biomedical  basic medicine  clinical medicine  pharmacy  public health  traditional Chinese medicine  population and reproductive health and other aspects of scientific data resources.NCMI is integration of biomedical  basic medicine  clinical medicine  pharmacy  public health  traditional Chinese medicine  population and reproductive health and other aspects of scientific data resources. This covid-19 Data contains clinical trail and drug data related with covid-19 virus.,COVID-19; Basic Medicine; Health,health,from title-abstract-keywords,,,,health,
338,Names,https://lod-cloud.net/dataset/Names,Usernames,Hidden,Hidden; Jmora7@juno.com,not classified,"unclear from title, abstract, keywords. empty and inaccessible resource",,,,ND,health
1122,Naturopathy,https://lod-cloud.net/dataset/Naturopathy,Naturopathy Knowledge Graph (Ontology and Dataset) - RDF distribution of the naturopathy dataset.,The Naturopathy Knowledge Graph (Ontology and Dataset) describes relationships between foods  their nutrients  their color  mood  diseases  diets  and allergies. The Naturopathy Knowledge Graph (Ontology and Dataset) has been extended to describe food as beneficial to boost the immune system. RDF distribution of naturopathy dataset.  Latest use case is to boost the immune system with food because of the COVID-19 pandemic crisis.,naturopathy; food; immune system; Vitamin A; Vitamin B; Vitamin C; Vitamin D; Vitamin E; Zinc; Sufur; Recommendation; vocabulary; semantics; ontology; Knowledge Graph; dataset; suggestion; fatigue; exhaustion; tiredness; sleeping issues; insomnia; anxiety; stress; depression; chocolate; sadness; sad; emotion; hair; lemon; home remedy; aromatherapy; oil essential; boost health; healthcare; happiness; well-being; honey,health,food effect on diseases,,,,health,cultural heritage
603,Open_Land_Use,https://lod-cloud.net/dataset/Open_Land_Use,Open Land Use @PSNC,Open Land Use Map is a composite map that is intended to create detailed land-use maps of various regions based on certain pan-Europen datasets such as CORINE Landcover  UrbanAtlas enriched by available regional data. The dataset is derived from available open datasources at different levels of detail and coverage. These data sources include: 1) Digital cadastral maps if available 2) Land Parcel Identification System if Available 3) Urban Atlas(European Environmental Agency) 4) CORINE Land Cover 2006 (European Environmental Agency) 5) Open Street Map The order of the data sources is according to the level of detail and  therefore  the priority for data integration.  The dataset includes agriculture related lands (hilucs_code<200) from Czech  Poland  Spain & for few main cities in Czech Republic (centers of NUTS3 regions)  Poland (agglomeration areas from Urban Atlas) and Spain (agglomeration areas from Urban Atlas).,landuse; european cities; agglomeration,not classified - geography,,,,,,health
689,PGxLOD,https://lod-cloud.net/dataset/PGxLOD,PGxLOD,PGxLOD groups data related to pharmacogenomics (PGx) from various sources such as PharmGKB  DrugBank  ClinVar  DisGeNET  but also the scientific literature. Central elements of PGxLOD are pharmacogenomic relationships  which are n-ary relationships linking drugs  genetic factors and drug-response phenotypes. Such relationships state the atomic elements of knowledge in PGx  i.e.  a patient with a specified genetic factor and being treated with a specified drug is likely to experience the specified drug-response phenotypes (such as an adverse effect  no effect  etc.). PGxLOD is developed in the ANR PractiKPharma project (http://practikpharma.loria.fr/).,pharmacogenomics; pharmacogenetics; PGx; life sciences; lod; linked data; ontology; provenance; metadata; gene; genetic factor; drug; drug response; phenotype,health,pharmacogenomics in the abstract,,,,health,
852,Prior_Panel,https://lod-cloud.net/dataset/Prior_Panel,Prior Panel,Indian Publishing  Website,Prior Panel; Priorpanel; priorinfo,not classified,"unclear from title, abstract, keywords. almost empty (a single triple is declared in metadata) and the link doesn't work",,,,,health
1472,PubChem_RDF,https://lod-cloud.net/dataset/PubChem_RDF,PubChem RDF,RDF version of the PubChem database.,chemistry,health,,,,,,SLR
1506,Uganda-Disasters-rdf-data_,https://lod-cloud.net/dataset/Uganda-Disasters-rdf-data_,Uganda Disasters,A data set containing all disasters recorded to have occurred in Uganda. Created by GI members of Makerere University  Kampala  Uganda.,disaster; uganda; hazard; disaster data,not classified,disaster. related to geography or government,,,,,health
1505,UniProt,https://lod-cloud.net/dataset/UniProt,UniProt,The Universal Protein Resource (UniProt) is a comprehensive resource for protein sequence and annotation data. The UniProt databases are the UniProt Knowledgebase (UniProtKB)  the UniProt Reference Clusters (UniRef)  and the UniProt Archive (UniParc). The UniProt consortium and host institutions EMBL-EBI  SIB and PIR are committed to the long-term preservation of the UniProt databases.,protein; uniprot; function; biology,health,proteins in the abstract,,,,health,
809,WHOnto,https://lod-cloud.net/dataset/WHOnto,Corona Virus Infected Cases Ontology,Ontology for Corona virus infected cases according to WHO. It is open-source ontology in the area of corona virus infectious disease. The WHOnto provide information about active cases  total number of death across the country. WHOnto is developed to provide standardized human- and computer interpret able annotation and representation of various corona virus infectious diseases  including their etiology  transmission   diagnosis  prevention  and treatment.,Covid_19 Ontology; Who Reported case ontology; Corona Virus Ontology,health,from title-abstract-keywords,,,,health,cultural heritage
85,addgene,https://lod-cloud.net/dataset/addgene,Addgene,Data exposed: Addgene catalog (tab delimited file)    Size of dump and data set: 1.1 MB    Notes: provided to Science Commons by Addgene    ### Openness: ?    T&C here: http://www.addgene.org/pgvec1?f=a&cmd=showfile&file=terms    However hard to work out what these mean ...,ckanupload.esw.200910; format-rdf; genetics; license-unclear; linkeddata; lod; lodcloud.nolinks; lodcloud.unconnected; rdf; size-small,health,gene is mentioned in title and abstract. genetics is mentioned in the keywords, ,,,,cultural heritage
264,anno0000018da2d42240,https://lod-cloud.net/dataset/anno,ANNO,The Anthropological Notation Ontology (ANNO) allows the systematic and standardized classification of recovered bone finds into the skeletal system  the description of the skeletal pieces  and the definition of functions for the derivation of different phenotypes of humans in forensic and historical anthropology. ANNO consists of two components: ANNOdc  a domain-core ontology providing core entities such as basic anatomical categories  and ANNOds  a domain-specific ontology used for annotating structures of the human skeleton. ANNO is integrated into AnthroWorks3D  a photogrammetry pipeline and application for the creation and analysis of 3D-models of human skeletal remains. The integration is based on the three-ontology method with the General Formal Ontology as the top-level ontology  ANNOdc as the task ontology and ANNOds as the domain ontology. Thus  AnthroWorks3D only needs to implement access to the entities (classes and properties) of the task ontology  whereas the entities of the corresponding domain ontology are imported dynamically. ANNO supports the analysis of skeletal and bone finds in forensic and historical anthropology  facilitating the standardization of data annotation and ensuring accurate preservation of information for posterity.,anthropology,health,antropology from the description,,,,cultural heritage,
988,archiveshub-linkeddata,https://lod-cloud.net/dataset/archiveshub-linkeddata,Archives Hub Linked Data,A sample dataset of descriptions of archive collections held on the Archives Hub  a UK aggregator  and output as Linked Data.     The Hub Linked Data provides a perspective on the people  organisations  subjects and places connected with the archives that are described.  External links are provided to other datasets  such as the Virtual International Authority File and Library of Congress Subject Headings.    A stylesheet is available to convert EAD data (XML for archives) into RDF XML.     http://data.archiveshub.ac.uk/,archives; deref-vocab; format-xhtml; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; open_archives; publications; published-by-third-party,,unclear,inaccessible resource,,,cultural heritage,health
839,arrayexpress-e-afmx-1,https://lod-cloud.net/dataset/arrayexpress-e-afmx-1,"Transcription profiling of human, chimp and mouse brain",Microarray technologies allow the identification of large numbers of expression differences within and between species. Although environmental and physiological stimuli are clearly responsible for changes in the expression levels of many genes  it is not known whether the majority of changes of gene expression fixed during evolution between species and between various tissues within a species are caused by Darwinian selection or by stochastic processes. We find the following: (1) expression differences between species accumulate approximately linearly with time; (2) gene expression variation among individuals within a species correlates positively with expression divergence between species; (3) rates of expression divergence between species do not differ significantly between intact genes and expressed pseudogenes; (4) expression differences between brain regions within a species have accumulated approximately linearly with time since these regions emerged during evolution. These results suggest that the majority of expression differences observed between species are selectively neutral or nearly neutral and likely to be of little or no functional significance. Therefore  the identification of gene expression differences between species fixed by selection should be based on null hypotheses assuming functional neutrality. Furthermore  it may be possible to apply a molecular clock based on expression differences to infer the evolutionary history of tissues.,format-efo; format-pobo; format-prov; lifesciences; lod; no-proprietary-vocab; provenance-metadata; published-by-third-party,health,,,,,,health
1306,arrayexpress_e-mtab-104,https://lod-cloud.net/dataset/arrayexpress_e-mtab-104,Transcription profiling of rat bladder after inoculation with bladder cancer cells,Rat bladder cancer cells (AY-27 cell line) were inoculated intravesically into syngeneic female Fischer rats. The bladder was analyzed by histology and Affymetrix GeneChips and compared to bladders from sham operated and normal rats.,format-efo; format-obo; format-prov; lifesciences; lod; no-proprietary-vocab; provenance-metadata; published-by-third-party,health,,,,,health,education
840,arthroscopy,https://lod-cloud.net/dataset/arthroscopy,Arthroscopy community,"<p> The arthroscopy community is the adecuate space for all those who take part on the arthroscopic surgical procedures of the locomotor system. Its meaning is to create and share knowledge concerning the answers to the current and effective matters on these kind of arthroscopic proceedings: surgical  anesthesic  rehabilitative or even organizing ones.</p>  <p>The arthroscopy community works with <a href=""http://gnoss.com/"">GNOSS software (RIAM Intelearning Lab)</a>. RIAM is a company that develops semantic technology for the creation of specialized networks and linked markets. It includes a facet-based search engine and enriched contexts. Both are developments by GNOSS.</p>    <p> Portal de Artroscopia es un espacio de aprendizaje para todas las personas que participan en los procedimientos quirúrgicos artroscópicos del aparato locomotor. El propósito es generar y compartir conocimiento sobre las soluciones a los problemas reales y concretos en este tipo procedimientos  sean estos quirúrgicos  de anestesia  de rehabilitación o de organización. </p><p> Portal de Artroscopia trabaja con <a href=""http://gnoss.com/"">software de GNOSS (RIAM Intelearning Lab)</a>. RIAM es una compañía que desarrolla tecnología semántica para la creación de redes especializadas y mercados enlazados. El proyecto Incluye un buscador facetado y contextos enriquecidos. Ambos son desarrollos de GNOSS.  </p>",Arthroscopy; aparato locomotor; arthroscopic proceedings; artrocopia; corporate excellence; country-spain; country.es; dc; foaf; format-dc; format-dcam; format-foaf; format-rdfg; format-sioc; format-skos; format-wot; health; laboratorio de ideas; language-spa; license-metadata; locomotor system; lod; no-proprietary-vocab; no-vocab-mappings; procesos quirúrgicos; provenance-metadata; published-by-third-party; schemata; sioc; skos; socialweb; sp; spain; surgical procedures; usergeneratedcontent; wrapper,health,"from title, abstract, keywords",,,,,SLR
667,bbop-selected,https://lod-cloud.net/dataset/bbop-selected,BBOP,Data exposed: selected OBO ontologies  downloaded ~21 April 2007  augmented with inferred relations  Size of dump and data set: 2.6 MB  Notes: released without contract,ckanupload.esw.200910; deref-vocab; format-rdf; format-rdfs; lifesciences; linkeddata; lod; lodcloud.nolinks; lodcloud.unconnected; ontology; published-by-third-party; rdf,health,"unclear from title, abstract and keyword. from the website it is clear that BBOP stands for ""Berkeley Bioinformatics Open-source Projects""",,,,,
67,bdgp,https://lod-cloud.net/dataset/bdgp,Bdgp,,bdgp; linkeddata; open-biomed,health,unclear from title and abstract. biomed cited among keywords,,,,ND,SLR
204,bio2rdf-affymetrix0000018ec34a360f,https://lod-cloud.net/dataset/bio2rdf-affymetrix,Bio2RDF::Affymetrix,This dataset contains the probesets used in the Affymetrix microarrays.,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; provenance-metadata; published-by-third-party; vocab-mappings,health,bio in the title,,,,,health
1019,bio2rdf-biomodels,https://lod-cloud.net/dataset/bio2rdf-biomodels,Bio2RDF::Biomodels,BioModels Database is a data resource that allows biologists to store  search and retrieve published mathematical models of biological interests.,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; lodcloud-diagram-2014-08-30; provenance-metadata; published-by-third-party; vocab-mappings,health,bio in the title,,,,health,Technology
866,bio2rdf-chembl,https://lod-cloud.net/dataset/bio2rdf-chembl,Bio2RDF::Chembl,ChEMBL is a database of bioactive compounds  their quantitative properties and bioactivities (binding constants  pharmacology and ADMET  etc). The data is abstracted and curated from the primary scientific literature.,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; provenance-metadata; published-by-third-party; vocab-mappings,health,bio in the title,,,,,Publications
1044,bio2rdf-ctd,https://lod-cloud.net/dataset/bio2rdf-ctd,Bio2RDF::Ctd,CTD includes manually curated data describing cross-species chemical-gene/protein interactions and chemical- and gene-disease relationships to illuminate molecular mechanisms underlying variable susceptibility and environmentally influenced diseases.,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; lodcloud-diagram-2014-08-30; provenance-metadata; published-by-third-party; vocab-mappings,health,bio in the title,,,,health,unclassified
253,bio2rdf-dataset,https://lod-cloud.net/dataset/bio2rdf-dataset,bio2rdf-dataset,,LinkedDataCrawl2014; crawledLinkedDataCloud2014; dataset-level-metadata; dump; format-dcterm; format-foaf; format-owl; format-prov; format-rdf; format-rdfs; format-void; lifesciences; lodcloud-diagram-2014-08-30; sparql,health,bio in the title,,,,ND,health
837,bio2rdf-goa,https://lod-cloud.net/dataset/bio2rdf-goa,Bio2RDF::Goa,The GOA (Gene Ontology Annotation) project provides high-quality Gene Ontology (GO) annotations to proteins in the UniProt Knowledgebase (UniProtKB) and International Protein Index (IPI). This involves electronic annotation and the integration of high-quality manual GO annotation from all GO Consortium model organism groups and specialist groups.,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; lodcloud-diagram-2014-08-30; provenance-metadata; published-by-third-party; vocab-mappings,health,bio in the title,,,,,health
920,bio2rdf-homologene,https://lod-cloud.net/dataset/bio2rdf-homologene,Bio2RDF::Homologene,HomoloGene is a system for automated detection of homologs among the annotated genes of several completely sequenced eukaryotic genomes.,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; provenance-metadata; published-by-third-party; vocab-mappings,health,bio in the title,,,,,health
1643,bio2rdf-irefindex,https://lod-cloud.net/dataset/bio2rdf-irefindex,Bio2RDF::Irefindex,IrefIndex (Interaction Reference Index) provides an index of protein interactions available in a number of primary interaction databases including BIND  BioGRID  CORUM  DIP  HPRD  IntAct  MINT  MPact  MPPI and OPHID. This index includes multiple interaction types including physical and genetic (mapped to their corresponding protein products) as determined by a multitude of methods.,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; lodcloud-diagram-2014-08-30; provenance-metadata; published-by-third-party; vocab-mappings,health,bio in the title,,,,health,
1106,bio2rdf-linkedspl,https://lod-cloud.net/dataset/bio2rdf-linkedspl,Bio2RDF::Linkedspl,LinkedSPL is a Linked Data version of DailyMed,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; provenance-metadata; published-by-third-party; vocab-mappings,health,bio in the title,,,,health,Linguistics
1267,bio2rdf-lsr,https://lod-cloud.net/dataset/bio2rdf-lsr,Bio2RDF::Lsr,The Resource Registry is a curated collection of datasets and terminologies used in the life sciences,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; lodcloud-diagram-2014-08-30; provenance-metadata; published-by-third-party; vocab-mappings,health,bio in the title,,,,,Linguistics
638,bio2rdf-mgi,https://lod-cloud.net/dataset/bio2rdf-mgi,Bio2RDF::Mgi,The Mouse Genome Database (MGD) project includes data on gene characterization  nomenclature  mapping  gene homologies among mammals  sequence links  phenotypes  allelic variants and mutants  and strain data.,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; lodcloud-diagram-2011-09-19; provenance-metadata; published-by-third-party; vocab-mappings,health,bio in the title,,,,,health
695,bio2rdf-omim,https://lod-cloud.net/dataset/bio2rdf-omim,Bio2RDF::Omim,OMIM is a comprehensive  authoritative  and timely compendium of human genes and genetic phenotypes. The full-text  referenced overviews in OMIM contain information on all known mendelian disorders and over 12 000 genes. OMIM focuses on the relationship between phenotype and genotype.,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; provenance-metadata; published-by-third-party; vocab-mappings,health,bio in the title,,,,health,unclassified
1478,bio2rdf-omim-resources,https://lod-cloud.net/dataset/bio2rdf-omim-resources,bio2rdf-omim-resources,,LinkedDataCrawl2014; crawledLinkedDataCloud2014; dataset-level-metadata; format-dcterm; format-owl; format-rdf; format-rdfs; format-void; lifesciences; lodcloud-diagram-2014-08-30,health,bio in the title,,,,,health
1491,bio2rdf-orphanet,https://lod-cloud.net/dataset/bio2rdf-orphanet,Bio2RDF::Orphanet,Orphanet is a database of information on rare diseases and orphan drugs for all publics. Its aim is to contribute to the improvement of the diagnosis  care and treatment of patients with rare diseases.,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; lodcloud-diagram-2014-08-30; provenance-metadata; published-by-third-party; vocab-mappings,health,bio in the title,,,,health,cultural heritage
816,bio2rdf-pathwaycommons,https://lod-cloud.net/dataset/bio2rdf-pathwaycommons,Bio2RDF::Pathwaycommons,Pathway Commons is a convenient point of access to biological pathway information collected from public pathway databases,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; provenance-metadata; published-by-third-party; vocab-mappings,health,bio in the title,,,,,health
1598,bio2rdf-pharmgkb,https://lod-cloud.net/dataset/bio2rdf-pharmgkb,Bio2RDF::Pharmgkb,PharmGKB curates primary genotype and phenotype data  annotates gene variants and gene-drug-disease relationships via literature review  and summarizes important PGx genes and drug pathways.,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; lodcloud-diagram-2014-08-30; provenance-metadata; published-by-third-party; vocab-mappings,health,bio in the title,,,,health,SLR
483,bio2rdf-sabiork,https://lod-cloud.net/dataset/bio2rdf-sabiork,Bio2RDF::Sabiork,SABIO-RK is a database for biochemical reactions  their kinetic equations with their parameters  and the experimental conditions under which these parameters were measured.,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; lodcloud-diagram-2014-08-30; provenance-metadata; published-by-third-party; vocab-mappings,health,bio in the title,,,,,health
1298,bio2rdf-sgd-resources,https://lod-cloud.net/dataset/bio2rdf-sgd-resources,bio2rdf-sgd-resources,,LinkedDataCrawl2014; crawledLinkedDataCloud2014; dataset-level-metadata; deref-vocab; dump; format-owl; format-rdf; format-rdfs; format-void; lifesciences; lodcloud-diagram-2014-08-30; sparql,health,bio in the title,,,,ND,health
356,bio2rdf-sider,https://lod-cloud.net/dataset/bio2rdf-sider,Bio2RDF::Sider,SIDER contains information on marketed medicines and their recorded adverse drug reactions. The information is extracted from public documents and package inserts. The available information include side effect frequency  drug and side effect classifications as well as links to further information  for example drug?target relations.,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; provenance-metadata; published-by-third-party; vocab-mappings,health,bio in the title,,,,health,unclassified
247,bio2rdf-taxon,https://lod-cloud.net/dataset/bio2rdf-taxon,bio2rdf-taxon,,LinkedDataCrawl2014; crawledLinkedDataCloud2014; dataset-level-metadata; dump; format-dcterm; format-owl; format-rdf; format-rdfs; format-void; lifesciences; lodcloud-diagram-2014-08-30; sparql,health,bio in the title,,,,ND,health
10,bio2rdf-taxonomy,https://lod-cloud.net/dataset/bio2rdf-taxonomy,Bio2RDF::Taxonomy,The NCBI taxonomy database contains the names of all organisms that are represented in the genetic databases with at least one nucleotide or protein sequence.,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; lodcloud-diagram-2014-08-30; provenance-metadata; published-by-third-party; vocab-mappings,health,bio in the title,,,,health,cultural heritage
983,bio2rdf-wormbase,https://lod-cloud.net/dataset/bio2rdf-wormbase,Bio2RDF::Wormbase,WormBase is an online bioinformatics database of the biology and genome of the model organism Caenorhabditis elegans and related nematodes. It is used by the C. elegans research community both as an information resource and as a mode to publish and distribute their results.,bio2rdf; deref-vocab; format-dc; format-rdf; format-rdfs; license-metadata; lifesciences; lod; lodcloud-diagram-2014-08-30; provenance-metadata; published-by-third-party; vocab-mappings,health,bio in the title,,,,health,cultural heritage
1080,biographical-directory-of-the-united-states-congress,https://lod-cloud.net/dataset/biographical-directory-of-the-united-states-congress,Biographical Directory of the United States Congress,Names  positions  state  party  and congress number of members of US Congress 1774-present.    Scraped from http://bioguide.congress.gov/biosearch/biosearch.asp   by https://scraperwiki.com/scrapers/biographical_directory_usc/#,government; lod; no-deref-vocab; provenance-metadata; published-by-third-party,not classified - government,,,,,cultural heritage,health
