_id,url,title,description,keywords,Final_decision_previous_stage,GAB - Decision after inspection of the dataset,GAB - Source that guided the decision,MAR - Decision after inspection of the dataset,MAR - Source that guided the decision,Comments,3rd reviewer comment,New link for the resource,New SPARQL URL,New RDF Dump,No LD,Only ontology?
data-incubator-discogs,https://lod-cloud.net/dataset/data-incubator-discogs,Discogs in RDF,This dataset contains information about audio recordings  including commercial releases  promotional releases and bootleg or off-label releases. Discogs is one of the largest online databases of electronic music releases and of releases on vinyl media. The source data comes from submissions contributed by users who have registered accounts on discogs.com. This version is based on the regularly monthly data releases from the website which have been placed into the Public Domain.    *Note* this RDF version of Discogs is no longer updated  it was taken off-line during the shutdown of Kasabi. A dump of the dataset has been [uploaded to the Internet Archive](http://archive.org/details/kasabi),format-dc; format-exif; format-foaf; format-mo; format-owl; format-rdf; format-sioc; license-metadata; lodcloud-diagram-2011-09-19; media; music; records; intangible,cultural heritage,ch no working links,error while unzipping the file,ch no working links,"website expired. http://linkeddatacatalog.dws.informatik.uni-mannheim.de/dataset/data-incubator-discogs google it. download working, as a zip",to check zip content,,,,http://archive.org/download/kasabi/discogs.gz,,
dbtropes,https://lod-cloud.net/dataset/dbtropes,DBTropes,DBTropes.org is a Linked Data wrapper for the TVTropes.org community wiki. It contains descriptions of numerous movies  books  and other items  and associates these with tropes (writing devices and conventions).,book; deref-vocab; fiction; format-rdf; format-rdfs; license-metadata; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; media; movie; provenance-metadata; published-by-third-party; trope; tangible,cultural heritage,cultural heritage,,cultural heritage,"the website requires authentication. no working links for the download. googling it: http://linkeddatacatalog.dws.informatik.uni-mannheim.de/dataset/dbtropes the zip download is working. From the description ""DBTropes.org is a Linked Data wrapper for the TVTropes.org community wiki. It contains descriptions of numerous movies, books, and other items, and associates these with tropes (writing devices and conventions).""",,,,,http://dbtropes.org/static/dbtropes.zip ,,
data-incubator-moseley,https://lod-cloud.net/dataset/data-incubator-moseley,Moseley Folk Festival Data,### Description    Artist information for the [Moseley Folk Festival](http://www.moseleyfolk.co.uk/) from 2006-2009  in RDF.    *Note* this dataset is no longer updated  it was taken off-line during the shutdown of Kasabi. A dump of the dataset has been [uploaded to the Internet Archive](http://archive.org/details/kasabi),country-uk; events; format-dc; format-foaf; format-mo; format-owl; format-rdf; lodcloud-diagram-2011-09-19; media; music; published-by-third-party; talis; intangible,cultural heritage,cultural heritage,https://archive.org/download/kasabi/moseley-folk-festival-data.gz,cultural heritage,"website not working. 
https://old.datahub.io/de/dataset/data-incubator-moseley googling it. 

the following description is provided: 
""Artist information for the Moseley Folk Festival from 2006-2009, in RDF.

Note this dataset is no longer updated, it was taken off-line during the shutdown of Kasabi. A dump of the dataset has been uploaded to the Internet Archive""

Link to the archive: https://archive.org/details/kasabi

",,,,,https://archive.org/download/kasabi/moseley-folk-festival-data.gz,,
enslaved.org,https://lod-cloud.net/dataset/enslaved.org,Enslaved.org,The primary focus of Enslaved.org is people—individuals who were enslaved  owned slaves  were connected to the slave trade  and worked to emancipate slaves.,Slave Trade; Digital Humanities; People; Events; Places; tangible,cultural heritage,cultural heritage,Updated link from google:https://docs.enslaved.org/lod/,cultural heritage,,,,,,https://docs.enslaved.org/lod/,,
gutenberg,https://lod-cloud.net/dataset/gutenberg,Project Gutenberg,Overview:     Project Gutenberg is the first and largest single collection of free electronic books  or eBooks.    Statistics:   Over 100 000 titles  some duplication  of course.    License:  Majority of works in public domain. Works posted with permission from copyright holders are licensed under the Project Gutenberg license.    Formats:  Most Project Gutenberg eBooks are available in plain text   just so they can be used with nearly any hardware/software   and many are also available in a variety of other formats.    Over 30 000 eBooks in over 50 languages at gutenberg.org    Over 75 000 eBooks in over 100 languages at gutenberg.cc      This is my first attempt to rewrite this little blurb   so I will keep it brief for now to see what happens.      Michael S. Hart  Founder  Project Gutenberg   Inventor of eBooks  http://www.gutenberg.org/wiki/Michael_S._Hart,access-bulk; access-ftp; access-http; access-rsync; bibliographic; book; ebook; format-dcmit; format-rdf; lod; lodcloud-diagram-2014-08-30; tangible,cultural heritage,cultural heritage,Only links available from google is this:https://www.gutenberg.org/ebooks/11799.rdf but contain few data,cultural heritage,most of the links do not work. https://github.com/alexdma/gutenberg-ld?tab=readme-ov-file googling it. ontology,,,,,https://github.com/alexdma/gutenberg-ld?tab=readme-ov-file,,
dm2e,https://lod-cloud.net/dataset/dm2e,DM2E,Metadata about digitalised manuscripts coming from the DM2E project (http://dm2e.eu).,lod; lodcloud-diagram-2014-08-30; manuscripts; tangible,cultural heritage,cultural heritage,Github repository: https://github.com/dm2e,cultural heritage,links in the cloud not working. paper found googling it. project part of europeana,,,,,https://github.com/dm2e,,
jita,https://lod-cloud.net/dataset/jita,JITA Classification System of Library and Information Science,"The JITA Classification Schema has been developed starting from a merger of NewsAgentTopic Classification Scheme (maintained by Mike Keen at Aberystwyth  UK  until 31st March 1998) and the RIS classification scheme of the (now defunct) Review of Information Science originally conceived by Dagobert Soergel (University of Maryland). JITA is an acronym of the authors' first names: ""J""osé Manuel Barrueco Cruz  ""I""mma Subirats Coll  ""T""homas Krichel and ""A""ntonella De Robbio. The authors thank Michael Keen  University of Wales Aberystwyth and Andy Powell  UKOLN for the permission of the using NewsAgentTopic Classification Scheme in the development of this schema. In addition  the authors are grateful for comments by Lorcan Dempsey (OCLC) and Sophie Rigny (Library of Congress).",classification; format-skos; format-xhtml; information-science; library; lld; lod; no-license-metadata; no-proprietary-vocab; provenance-metadata; published-by-producer; schemata; tangible,cultural heritage,cultural heritage,,cultural heritage,github https://github.com/gbv/JITA?tab=readme-ov-file googling it,,,,,https://github.com/gbv/JITA?tab=readme-ov-file,,
eventkg,https://lod-cloud.net/dataset/eventkg,EventKG,The EventKG is a novel multilingual resource incorporating event-centric information extracted from several large-scale knowledge graphs such as Wikidata  DBpedia and YAGO  as well as less structured sources such as Wikipedia Current Events and Wikipedia event lists in five languages. The EventKG is an extensible event-centric resource modeled in RDF. It relies on Open Data and best practices to make event data spread across different sources available through a common representation and reusable for a variety of novel algorithms and real-world applications.,events; knowledge graph; intangible,cultural heritage,cultural heritage,"No sparql endpoint available, but from the website, different data dump can be downloaded",cultural heritage,no sparql endpoint. website is working. most of the exploration links from the website are not working. but there are working links to github: https://github.com/saraabdollahi/EventKG-Click and zenodo: https://zenodo.org/records/3568387,,,,,https://github.com/saraabdollahi/EventKG-Click ; https://zenodo.org/records/3568387,,
roceeh-road0000018fe7952923,https://lod-cloud.net/dataset/roceeh-road,ROCEEH Out of Africa Database (ROAD),Database on human origins in Africa and Eurasia between 3 000 000 and 20 000 years ago covering prehistoric archaeology  paleoanthropology  paleoenvironment and geography.,Archaeology; Paleoanthropology; Paleoenvironment; Paleontology; Palynology; Prehistory; Geography,cultural heritage,cultural heritage,Updated link from Google: https://www.roceeh.uni-tuebingen.de/roadweb/smarty_road_simple_search.php The SPARQL enpoint is available only for regitered users,cultural heritage,https://github.com/sommergeo/roceeh2wiki?tab=readme-ov-file ,,,https://www.roceeh.uni-tuebingen.de/roadweb/smarty_road_simple_search.php ,,https://github.com/sommergeo/roceeh2wiki?tab=readme-ov-file ,,
lcsh,https://lod-cloud.net/dataset/lcsh,Library of Congress Subject Headings,LCSH has been actively maintained since 1898 to catalog materials held at the Library of Congress. By virtue of cooperative cataloging other libraries around the United States also use LCSH to provide subject access to their collections. In addition LCSH is used internationally  often in translation.,authorities; bibliographic; format-rdf; format-skos; library; lld; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-license-metadata; no-proprietary-vocab; no-provenance-metadata; no-vocab-mappings; publications; published-by-producer; intangible,cultural heritage,cultural heritage,Link to download RDF resources: https://id.loc.gov/download/,cultural heritage,Link to download RDF resources: https://id.loc.gov/download/,,,,,https://id.loc.gov/download/,,
lcsubjects,https://lod-cloud.net/dataset/lcsubjects,LCSubjects.org Library of Congress Subject Headings,An alternative to http://id.loc.gov/:  includes a SPARQL endpoint  faceted search,lld; lod; generic,cultural heritage,cultural heritage,Link to download RDF resources: https://id.loc.gov/download/,cultural heritage,Link to download RDF resources: https://id.loc.gov/download/,,,,,https://id.loc.gov/download/,,
talis-openlibrary,https://lod-cloud.net/dataset/talis-openlibrary,Open Library data mirror in the Talis Platform,Modeled using the JSON data dumps from the Open Library (http://openlibrary.org/data/ol_dump_latest.txt.gz).  Provides a SPARQL endpoint and OpenSearch interface (with RSS 1.0 output).    The data model is slightly different than that of the Open Library's native RDF output:  it is designed to link out to more resources in the LOD Cloud.,broken_link; format-bibo; format-dc; format-foaf; format-frbr; format-skos; library; license-metadata; lld; lodcloud-diagram-2011-09-19; no-license-metadata; no-proprietary-vocab; no-provenance-metadata; no-vocab-mappings; publications; published-by-third-party; rdf; tangible,cultural heritage,cultural heritage,No LD data: https://openlibrary.org/developers/dumps,cultural heritage,,,,,,https://openlibrary.org/developers/dumps,,
bncf-ns000001932a10400a,https://lod-cloud.net/dataset/bncf-ns,Thesaurus BNCF,Nuovo soggettario (NS)  edited by the National Central Library of Florence  is the Italian subject indexing tool for various types of resources. It has been developed in compliance with the IFLA recommendations  and other international standards in the field of subject indexing. This tool has been created for general and specialized Italian libraries  and for museums  multimedia libraries  archives and documentation centres. The main component of the NS is a general thesaurus available on the web since 2007 (http://thes.bncf.firenze.sbn.it/ricerca.php). The thesaurus comprises nowadays approximately 73.800  terms and it is updated on a regular basis. All metadata can be used  in accordance with Creative Commons Attribution 4.0 licence.,publications; bibliographics; format-rdf; format-skos; library; authorities; linkeddata; tangible,cultural heritage,cultural heritage,,cultural heritage,website is not working. https://www.data.gov.uk/dataset/6fa6a421-e515-4ab7-bbd6-1e60c2b60706/the-linked-open-british-national-bibliography here durther details (retrieved by googling the dataser name),,,,,https://www.data.gov.uk/dataset/6fa6a421-e515-4ab7-bbd6-1e60c2b60706/the-linked-open-british-national-bibliography,,
http:cultural-opposition.eu,https://lod-cloud.net/dataset/http:cultural-opposition.eu,COURAGE Dataset,The COURAGE project was founded to investigate strategies for socialist-era cultural resistance during 1950-1990 and to highlight the variety of alternative cultural scenes that flourished in Eastern Europe before 1989  despite rigorous government control.  The project has compiled a registry of historical collections  people  groups  events  and collection items. This registry is an online RDF store containing scholar-curated linked data on the cultural heritage of the former 'Eastern bloc'. It has been used to create virtual and real exhibitions  scientific publications  and learning materials (see http://cultural-opposition.eu/).,history; cultural heritage; generic,cultural heritage,cultural heritage,No LD from the website,cultural heritage,"website is working. links not. googling it, it is available as ttl on zenodo: https://zenodo.org/records/3333540 on zenodo it is defined as: ""The dataset contains collections, featured items, groups, organizations and persons for the better understanding of the cultural heritage of dissent in the former socialist countries.""

",,,,,https://zenodo.org/records/3333540,,
bll-thesaurus,https://lod-cloud.net/dataset/bll-thesaurus,Bibliography of Linguistic Literature (BLL) Thesaurus,The Thesaurus of the Bibliography of Linguistic Literature (BLL Thesaurus) represents a comprehensive bilingual vocabulary for indexing and documentation of linguistically relevant publications. Since 1971  it has been continuously developed and enhanced. The BLL Thesaurus covers the field in its entirety: language identifiers  levels of language description  sub-domains and sub-disciplines as well as theoretical frameworks.  The BLL Thesaurus is hosted and maintained by the University Library Johann Christian Senckenberg in Frankfurt  Germany. The dataset is published as RDF/XML  NT and Turtle and licensed under Creative Commons Attribution (CC-BY).,language_description; linguistic; linguistics; llod; ontology; terminology; thesaurus; generic,cultural heritage,cultural heritage,,cultural heritage,not sure,,yes,,,,,Yes
Inztrow,https://lod-cloud.net/dataset/Inztrow,Inztrow,Artist/Producer,Music; Media; hiphop; instrumentals; funk; jazz; intangible,cultural heritage,cultural heritage,No info about the KG,cultural heritage,"it is CH according to the website and download description, but it downloads do not return LD.",No LD download,,,,,Yes,
aliada-scanbit-net,https://lod-cloud.net/dataset/aliada-scanbit-net,aliada-scanbit-net,Open linked data from the Library and Museum of ARTIUM,format-foaf; format-frbroo; format-owl; format-owltime; format-skos; format-wgs84; license-metadata; lod; no-proprietary-vocab; no-vocab-mappings; provenance-metadata; publications; published-by-producer; tangible,cultural heritage,cultural heritage,,cultural heritage,"from the website; Artium Museum, Museum of Contemporary Art of the Basque Country. A wide collectiong of CH objects",,,,,,,
cinematheque-quebecoise-linked-open-data000001938f9b5a76,https://lod-cloud.net/dataset/cinematheque-quebecoise-linked-open-data,Cinémathèque québécoise Linked Open Data,Free knowledge base hosted by Cinémathèque québécoise about movies.,movie; cinematheque; cinema; cultural heritage; quebec; intangible,cultural heritage,cultural heritage,link recovered from a google search: https://open.canada.ca/data/en/dataset/a1eea1a0-508c-4c72-a5a1-1edde9bbd5ab,cultural heritage,no working links on the LOD Cloud. googling it an updated link can be retrieved,,,https://open.canada.ca/data/en/dataset/a1eea1a0-508c-4c72-a5a1-1edde9bbd5ab,,,,
classical_temples,https://lod-cloud.net/dataset/classical_temples,Temples of the Classical World,A searchable digital database of temples (loosely defined) constructed in the Classical World (also loosely defined).,Rome; Greece; religion; temple; ancient; classics; generic,cultural heritage,cultural heritage,,cultural heritage,website and ttl download,,,,,,,
ecco-tcp-linked-data,https://lod-cloud.net/dataset/ecco-tcp-linked-data,ECCO-TCP Eighteenth Century Texts Linked Data,Linked Data conversion of the metadata about the texts in the ECCO-TCP Eighteenth Century Collections Online Texts dataset.    The conversion was done from the csv and plain text files linked to from http://ckan.net/package/tcp-ecco-18th-century-texts,18thc; books; deref-vocab; eighteenth-century; format-bibo; format-foaf; format-rdf; literature; lod; lodcloud-diagram-2011-09-19; publications; published-by-third-party; publishing; texts; tangible,cultural heritage,cultural heritage,No RDF,cultural heritage,googling it: https://textcreationpartnership.org/tcp-texts/ecco-tcp-eighteenth-century-collections-online/ online exploration. unclear if ld can be download,,,,,,,
hebis-bibliographic-resources,https://lod-cloud.net/dataset/hebis-bibliographic-resources,HeBIS - Bibliographic Resources of the Library Union Catalogues of Hessen and parts of the Rhineland Palatinate,This site contains links to metadata about all types of publications (print media  E-books  E-journals online resources) originating from the central union database of HeBIS. HeBIS - The Hessische BibliotheksInformationsSystem is one of the six regional library unions in Germany. It is the electronic information and service union of academic libraries in Hessen and parts of the Rhineland Palatinate. The metadata was catalogued by 27 independent cataloging libraries/library systems which are active within the union.    Additional information about the producer of this data can be found here:    http://www.hebis.de/eng/englisch_index.php,bibliographic; format-bibo; format-dc; format-dcterms; format-frbr; format-owl; format-rdf; format-wdrs; frankfurt; germany; hesse; hessen; library; license-metadata; lld; lod; no-proprietary-vocab; no-provenance-metadata; publications; published-by-producer; university; tangible,cultural heritage,cultural heritage,No LD from the website,cultural heritage,,,,,,,,
linkedlccn,https://lod-cloud.net/dataset/linkedlccn,LinkedLCCN,A wrapper for the Library of Congress' LCCN Permalink service which models the MARCXML output as linked data in RDF.,format-bibo; format-dc; format-foaf; format-frbr; format-mo; format-owl; format-rdf; format-rdfs; format-skos; format-xhtml; library; lld; lod; lodcloud-diagram-2011-09-19; no-license-metadata; no-proprietary-vocab; no-provenance-metadata; no-vocab-mappings; publications; published-by-third-party; tangible,cultural heritage,cultural heritage,"no resources online, we can't be sure if the library contains CH books",cultural heritage,https://lccn.loc.gov/ googling it,,,https://lccn.loc.gov/,,,,
linkedmdb,https://lod-cloud.net/dataset/linkedmdb,Linked Movie DataBase,Data exposed: Linked Data about Movies  Size of data set: 6 148 121 triples.    ### Openness: Open    Mixture of material from Wikipedia  Freebase and Geonames and states on http://wiki.linkedmdb.org/Main/Licensing:    > Content created by (or contributed to) LinkedMDB (interlinking data  in particular) is licensed under the Creative Commons Attributions License(CC-BY). You are free to use CC-BY content as long as you provide proper attribution back to the source (LinkedMDB). Attribution should be given with a link or a reference to LinkedMDB.,ckanupload.esw.200910; deref-vocab; films; format-dbp; format-rdf; license-; linked-data; linkeddata; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; media; no-license-metadata; no-provenance-metadata; no-vocab-mappings; published-by-third-party; rdf; intangible,cultural heritage,cultural heritage,,cultural heritage,dump available from the link attached as website: https://www.cs.toronto.edu/~oktie/linkedmdb/,,,https://www.cs.toronto.edu/~oktie/linkedmdb/,,,,
nlr-dataset-mod,https://lod-cloud.net/dataset/nlr-dataset-mod,National Library of Russia BibCore Dataset,Dataset includes initial set of interlinked authority records at work  subject heading and personal name level  which is supposed to be expanded in future to represent catalogue of the National Library of Russia.,Authority Data; Library catalogue; National Library of Russia; Personal Names; Subject Headings; lod; no-license-metadata; no-proprietary-vocab; provenance-metadata; publications; published-by-producer; Авторитетные данные; Российская национальная библиотека; tangible,cultural heritage,cultural heritage,,cultural heritage,http://www.rusmarc.ru/RDF/nlr-bibcore.html downloadable as rdf,,,https://www.cs.toronto.edu/~oktie/linkedmdb/,,,,
open-library,https://lod-cloud.net/dataset/open-library,Open Library,## About    > One web page for every book ever published. It's a lofty  but achievable  goal.    > To build it  we need hundreds of millions of book records  a brand new database infrastructure for handling huge amounts of dynamic information  a wiki interface  multi-language support  and people who are willing to contribute their time  effort  and book data.    > To date  we have gathered about 30 million records (13.4 million are available through the site now)  and more are on the way. We have built the database infrastructure and the wiki interface  and you can search millions of book records  narrow results by facet  and search across the full text of 230 000 scanned books.     ## Openness    All Open Library contributions are in the public domain.  See <http://openlibrary.org/about/license>.    ## Data     * Dump of author records: <http://openlibrary.org/data/ol_dump_authors_latest.txt.gz>     * Dump of edition records: <http://openlibrary.org/data/ol_dump_editions_latest.txt.gz>     * API documentation: <http://openlibrary.org/developers/api>    ## Issues    The content negotiation on entity URIs is buggy. Asking for only application/rdf xml works  but asking for multiple types doesn't.    The triple count is a wild guess based on the numbers of 13 million records and 30 triples per record.,access-api; access-bulk; access-json; bibliographic; book; data; format-bibo; format-rdf; library; lld; lod; lodcloud-diagram-2014-08-30; lodcloud.nolinks; no-license-metadata; no-proprietary-vocab; no-provenance-metadata; no-vocab-mappings; publications; published-by-producer; us; tangible,cultural heritage,cultural heritage,,cultural heritage,website to explore and download resources,,,,,,,
orlando-womens-writing-linked-open-data-set,https://lod-cloud.net/dataset/orlando-womens-writing-linked-open-data-set,The Orlando Women's Writing Linked Open Data Set,A linked open data set created from the original entries of the Orlando Project  an ongoing collaborative experiment in the use of computers to engage in women's literary history.,LOD; Litterature; Women; deref-vocab; format-cwrc; license-metadata; lod; provenance-metadata; published-by-third-party; vocab-mappings; tangible,cultural heritage,cultural heritage,,cultural heritage,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP2/EOB9S6 googling it,,,https://borealisdata.ca/dataset.xhtml?persistentId=doi:10.5683/SP2/EOB9S6,,,,
